Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-07-16T03:30:00+02:00,2025,100,1909
Bielefeld,2020-07-16T03:30:00+02:00,520,5,461
Bochum,2020-07-16T03:30:00+02:00,666,20,605
Bonn,2020-07-16T03:30:00+02:00,774,9,753
Borken (Kreis),2020-07-16T03:30:00+02:00,1125,38,1079
Bottrop,2020-07-16T03:30:00+02:00,223,7,212
Coesfeld (Kreis),2020-07-16T03:30:00+02:00,881,25,852
Dortmund,2020-07-16T03:30:00+02:00,1099,14,956
Duisburg,2020-07-16T03:30:00+02:00,1746,62,1536
Düren (Kreis),2020-07-16T03:30:00+02:00,627,39,578
Düsseldorf,2020-07-16T03:30:00+02:00,1978,42,1755
Ennepe-Ruhr-Kreis,2020-07-16T03:30:00+02:00,510,14,463
Essen,2020-07-16T03:30:00+02:00,1040,41,956
Euskirchen (Kreis),2020-07-16T03:30:00+02:00,524,23,468
Gelsenkirchen,2020-07-16T03:30:00+02:00,571,17,495
Gütersloh (Kreis),2020-07-16T03:30:00+02:00,2575,20,2313
Hagen,2020-07-16T03:30:00+02:00,439,13,383
Hamm,2020-07-16T03:30:00+02:00,572,36,510
Heinsberg (Kreis),2020-07-16T03:30:00+02:00,1961,81,1857
Herford (Kreis),2020-07-16T03:30:00+02:00,397,7,377
Herne,2020-07-16T03:30:00+02:00,271,3,243
Hochsauerlandkreis,2020-07-16T03:30:00+02:00,679,17,605
Höxter (Kreis),2020-07-16T03:30:00+02:00,373,18,353
Kleve (Kreis),2020-07-16T03:30:00+02:00,824,37,778
Köln,2020-07-16T03:30:00+02:00,2714,106,2506
Krefeld,2020-07-16T03:30:00+02:00,683,23,643
Leverkusen,2020-07-16T03:30:00+02:00,274,5,249
Lippe (Kreis),2020-07-16T03:30:00+02:00,774,30,735
Märkischer Kreis,2020-07-16T03:30:00+02:00,653,31,586
Mettmann (Kreis),2020-07-16T03:30:00+02:00,1147,82,970
Minden-Lübbecke (Kreis),2020-07-16T03:30:00+02:00,503,13,488
Mönchengladbach,2020-07-16T03:30:00+02:00,720,41,639
Mülheim / Ruhr,2020-07-16T03:30:00+02:00,296,14,263
Münster,2020-07-16T03:30:00+02:00,737,13,719
Oberbergischer Kreis,2020-07-16T03:30:00+02:00,504,18,481
Oberhausen,2020-07-16T03:30:00+02:00,323,11,294
Olpe (Kreis),2020-07-16T03:30:00+02:00,665,56,601
Paderborn (Kreis),2020-07-16T03:30:00+02:00,733,34,677
Recklinghausen (Kreis),2020-07-16T03:30:00+02:00,1432,40,1362
Remscheid,2020-07-16T03:30:00+02:00,249,18,226
Rhein-Erft-Kreis,2020-07-16T03:30:00+02:00,1133,76,1044
Rheinisch-Bergischer Kreis,2020-07-16T03:30:00+02:00,496,23,452
Rhein-Kreis Neuss,2020-07-16T03:30:00+02:00,808,21,760
Rhein-Sieg-Kreis,2020-07-16T03:30:00+02:00,1488,50,1438
Siegen-Wittgenstein (Kreis),2020-07-16T03:30:00+02:00,320,8,307
Soest (Kreis),2020-07-16T03:30:00+02:00,398,8,383
Solingen,2020-07-16T03:30:00+02:00,315,10,282
Steinfurt (Kreis),2020-07-16T03:30:00+02:00,1358,83,1264
Unna (Kreis),2020-07-16T03:30:00+02:00,794,39,588
Viersen (Kreis),2020-07-16T03:30:00+02:00,747,37,699
Warendorf (Kreis),2020-07-16T03:30:00+02:00,845,20,789
Wesel (Kreis),2020-07-16T03:30:00+02:00,844,27,725
Wuppertal,2020-07-16T03:30:00+02:00,1035,86,924
