Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-05-21T03:30:00+02:00,1958,91,1801
Bielefeld,2020-05-21T03:30:00+02:00,409,4,380
Bochum,2020-05-21T03:30:00+02:00,497,18,420
Bonn,2020-05-21T03:30:00+02:00,697,7,673
Borken (Kreis),2020-05-21T03:30:00+02:00,1005,38,838
Bottrop,2020-05-21T03:30:00+02:00,187,6,166
Coesfeld (Kreis),2020-05-21T03:30:00+02:00,841,24,513
Dortmund,2020-05-21T03:30:00+02:00,727,6,696
Duisburg,2020-05-21T03:30:00+02:00,1095,48,840
Düren (Kreis),2020-05-21T03:30:00+02:00,589,38,525
Düsseldorf,2020-05-21T03:30:00+02:00,1305,30,1056
Ennepe-Ruhr-Kreis,2020-05-21T03:30:00+02:00,415,14,374
Essen,2020-05-21T03:30:00+02:00,813,36,691
Euskirchen (Kreis),2020-05-21T03:30:00+02:00,438,21,346
Gelsenkirchen,2020-05-21T03:30:00+02:00,388,13,330
Gütersloh (Kreis),2020-05-21T03:30:00+02:00,631,19,568
Hagen,2020-05-21T03:30:00+02:00,325,12,267
Hamm,2020-05-21T03:30:00+02:00,472,36,395
Heinsberg (Kreis),2020-05-21T03:30:00+02:00,1864,69,1648
Herford (Kreis),2020-05-21T03:30:00+02:00,330,7,309
Herne,2020-05-21T03:30:00+02:00,185,1,164
Hochsauerlandkreis (Kreis),2020-05-21T03:30:00+02:00,606,17,564
Höxter (Kreis),2020-05-21T03:30:00+02:00,341,16,276
Kleve (Kreis),2020-05-21T03:30:00+02:00,644,35,541
Köln,2020-05-21T03:30:00+02:00,2442,96,2230
Krefeld,2020-05-21T03:30:00+02:00,612,22,516
Leverkusen,2020-05-21T03:30:00+02:00,233,5,206
Lippe (Kreis),2020-05-21T03:30:00+02:00,740,29,675
Märkischer Kreis,2020-05-21T03:30:00+02:00,592,27,516
Mettmann (Kreis),2020-05-21T03:30:00+02:00,926,74,791
Minden-Lübbecke (Kreis),2020-05-21T03:30:00+02:00,474,9,417
Mönchengladbach,2020-05-21T03:30:00+02:00,590,39,440
Mülheim / Ruhr,2020-05-21T03:30:00+02:00,196,9,166
Münster,2020-05-21T03:30:00+02:00,693,13,623
Oberbergischer Kreis,2020-05-21T03:30:00+02:00,477,17,441
Oberhausen,2020-05-21T03:30:00+02:00,254,8,228
Olpe (Kreis),2020-05-21T03:30:00+02:00,619,52,519
Paderborn (Kreis),2020-05-21T03:30:00+02:00,617,32,543
Recklinghausen (Kreis),2020-05-21T03:30:00+02:00,1257,37,1063
Remscheid,2020-05-21T03:30:00+02:00,234,16,204
Rhein-Erft-Kreis,2020-05-21T03:30:00+02:00,1081,72,915
Rheinisch-Bergischer Kreis,2020-05-21T03:30:00+02:00,458,19,408
Rhein-Kreis Neuss,2020-05-21T03:30:00+02:00,671,19,622
Rhein-Sieg-Kreis,2020-05-21T03:30:00+02:00,1384,48,1114
Siegen-Wittgenstein (Kreis),2020-05-21T03:30:00+02:00,307,8,280
Soest (Kreis),2020-05-21T03:30:00+02:00,359,8,343
Solingen,2020-05-21T03:30:00+02:00,242,7,220
Steinfurt (Kreis),2020-05-21T03:30:00+02:00,1325,79,1165
Unna (Kreis),2020-05-21T03:30:00+02:00,665,34,428
Viersen (Kreis),2020-05-21T03:30:00+02:00,694,35,518
Warendorf (Kreis),2020-05-21T03:30:00+02:00,485,18,444
Wesel (Kreis),2020-05-21T03:30:00+02:00,597,26,489
Wuppertal,2020-05-21T03:30:00+02:00,907,81,714
