Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-09T10:00:00+02:00,1410,41,699
Bielefeld,2020-04-09T10:00:00+02:00,257,1,103
Bochum,2020-04-09T10:00:00+02:00,342,12,195
Bonn,2020-04-09T10:00:00+02:00,447,2,111
Borken (Kreis),2020-04-09T10:00:00+02:00,722,17,308
Bottrop,2020-04-09T10:00:00+02:00,78,3,30
Coesfeld (Kreis),2020-04-09T10:00:00+02:00,431,9,198
Dortmund,2020-04-09T10:00:00+02:00,497,3,220
Duisburg,2020-04-09T10:00:00+02:00,502,4,220
Düren (Kreis),2020-04-09T10:00:00+02:00,386,12,184
Düsseldorf,2020-04-09T10:00:00+02:00,678,7,280
Ennepe-Ruhr-Kreis,2020-04-09T10:00:00+02:00,289,3,119
Essen,2020-04-09T10:00:00+02:00,555,20,238
Euskirchen (Kreis),2020-04-09T10:00:00+02:00,229,4,81
Gelsenkirchen,2020-04-09T10:00:00+02:00,212,4,39
Gütersloh (Kreis),2020-04-09T10:00:00+02:00,522,9,288
Hagen,2020-04-09T10:00:00+02:00,125,2,68
Hamm,2020-04-09T10:00:00+02:00,274,5,99
Heinsberg (Kreis),2020-04-09T10:00:00+02:00,1513,48,921
Herford (Kreis),2020-04-09T10:00:00+02:00,258,1,110
Herne ,2020-04-09T10:00:00+02:00,86,0,43
Hochsauerlandkreis (Kreis),2020-04-09T10:00:00+02:00,414,3,186
Höxter (Kreis),2020-04-09T10:00:00+02:00,157,1,52
Kleve (Kreis),2020-04-09T10:00:00+02:00,332,6,138
Köln,2020-04-09T10:00:00+02:00,1866,36,983
Krefeld,2020-04-09T10:00:00+02:00,305,5,147
Leverkusen,2020-04-09T10:00:00+02:00,160,2,63
Lippe (Kreis),2020-04-09T10:00:00+02:00,526,8,144
Märkischer Kreis,2020-04-09T10:00:00+02:00,241,4,50
Mettmann (Kreis),2020-04-09T10:00:00+02:00,657,14,278
Minden-Lübbecke (Kreis),2020-04-09T10:00:00+02:00,443,3,217
Mönchengladbach,2020-04-09T10:00:00+02:00,321,13,145
Mülheim / Ruhr,2020-04-09T10:00:00+02:00,114,4,62
Münster,2020-04-09T10:00:00+02:00,598,6,386
Oberbergischer Kreis,2020-04-09T10:00:00+02:00,354,7,172
Oberhausen,2020-04-09T10:00:00+02:00,125,0,49
Olpe (Kreis),2020-04-09T10:00:00+02:00,283,8,132
Paderborn (Kreis),2020-04-09T10:00:00+02:00,437,10,59
Recklinghausen (Kreis),2020-04-09T10:00:00+02:00,610,4,332
Remscheid,2020-04-09T10:00:00+02:00,113,2,56
Rhein-Erft-Kreis,2020-04-09T10:00:00+02:00,451,18,193
Rheinisch-Bergischer Kreis,2020-04-09T10:00:00+02:00,305,3,164
Rhein-Kreis Neuss,2020-04-09T10:00:00+02:00,496,8,301
Rhein-Sieg-Kreis,2020-04-09T10:00:00+02:00,829,12,268
Siegen-Wittgenstein (Kreis),2020-04-09T10:00:00+02:00,194,4,51
Soest (Kreis),2020-04-09T10:00:00+02:00,265,2,129
Solingen,2020-04-09T10:00:00+02:00,160,2,68
Steinfurt (Kreis),2020-04-09T10:00:00+02:00,810,16,287
Unna (Kreis),2020-04-09T10:00:00+02:00,403,9,147
Viersen (Kreis),2020-04-09T10:00:00+02:00,430,11,111
Warendorf (Kreis),2020-04-09T10:00:00+02:00,362,3,241
Wesel (Kreis),2020-04-09T10:00:00+02:00,319,3,172
Wuppertal,2020-04-09T10:00:00+02:00,422,11,154
