Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-08-29T03:30:00+02:00,2342,102,2149
Bielefeld,2020-08-29T03:30:00+02:00,733,7,656
Bochum,2020-08-29T03:30:00+02:00,1037,27,928
Bonn,2020-08-29T03:30:00+02:00,1012,9,939
Borken (Kreis),2020-08-29T03:30:00+02:00,1251,38,1157
Bottrop,2020-08-29T03:30:00+02:00,304,7,282
Coesfeld (Kreis),2020-08-29T03:30:00+02:00,912,25,878
Dortmund,2020-08-29T03:30:00+02:00,1636,20,1403
Duisburg,2020-08-29T03:30:00+02:00,2415,67,2180
Düren (Kreis),2020-08-29T03:30:00+02:00,871,40,776
Düsseldorf,2020-08-29T03:30:00+02:00,2641,47,2422
Ennepe-Ruhr-Kreis,2020-08-29T03:30:00+02:00,729,15,647
Essen,2020-08-29T03:30:00+02:00,1595,46,1441
Euskirchen (Kreis),2020-08-29T03:30:00+02:00,691,26,629
Gelsenkirchen,2020-08-29T03:30:00+02:00,818,20,711
Gütersloh (Kreis),2020-08-29T03:30:00+02:00,2840,20,2755
Hagen,2020-08-29T03:30:00+02:00,650,14,574
Hamm,2020-08-29T03:30:00+02:00,698,37,613
Heinsberg (Kreis),2020-08-29T03:30:00+02:00,2071,90,1904
Herford (Kreis),2020-08-29T03:30:00+02:00,551,8,514
Herne,2020-08-29T03:30:00+02:00,444,5,407
Hochsauerlandkreis,2020-08-29T03:30:00+02:00,814,18,755
Höxter (Kreis),2020-08-29T03:30:00+02:00,406,18,375
Kleve (Kreis),2020-08-29T03:30:00+02:00,1036,37,971
Köln,2020-08-29T03:30:00+02:00,3612,113,3215
Krefeld,2020-08-29T03:30:00+02:00,825,24,734
Leverkusen,2020-08-29T03:30:00+02:00,408,6,321
Lippe (Kreis),2020-08-29T03:30:00+02:00,894,31,810
Märkischer Kreis,2020-08-29T03:30:00+02:00,914,32,751
Mettmann (Kreis),2020-08-29T03:30:00+02:00,1705,83,1535
Minden-Lübbecke (Kreis),2020-08-29T03:30:00+02:00,724,13,586
Mönchengladbach,2020-08-29T03:30:00+02:00,969,49,842
Mülheim / Ruhr,2020-08-29T03:30:00+02:00,458,14,405
Münster,2020-08-29T03:30:00+02:00,922,13,861
Oberbergischer Kreis,2020-08-29T03:30:00+02:00,618,18,548
Oberhausen,2020-08-29T03:30:00+02:00,501,13,447
Olpe (Kreis),2020-08-29T03:30:00+02:00,751,56,661
Paderborn (Kreis),2020-08-29T03:30:00+02:00,830,34,751
Recklinghausen (Kreis),2020-08-29T03:30:00+02:00,1835,44,1649
Remscheid,2020-08-29T03:30:00+02:00,353,18,293
Rhein-Erft-Kreis,2020-08-29T03:30:00+02:00,1439,78,1228
Rheinisch-Bergischer Kreis,2020-08-29T03:30:00+02:00,616,22,553
Rhein-Kreis Neuss,2020-08-29T03:30:00+02:00,1131,23,1031
Rhein-Sieg-Kreis,2020-08-29T03:30:00+02:00,1827,53,1663
Siegen-Wittgenstein (Kreis),2020-08-29T03:30:00+02:00,525,8,440
Soest (Kreis),2020-08-29T03:30:00+02:00,487,8,464
Solingen,2020-08-29T03:30:00+02:00,465,13,404
Steinfurt (Kreis),2020-08-29T03:30:00+02:00,1580,88,1433
Unna (Kreis),2020-08-29T03:30:00+02:00,1139,41,978
Viersen (Kreis),2020-08-29T03:30:00+02:00,887,37,801
Warendorf (Kreis),2020-08-29T03:30:00+02:00,946,20,899
Wesel (Kreis),2020-08-29T03:30:00+02:00,1191,28,1041
Wuppertal,2020-08-29T03:30:00+02:00,1402,86,1210
