Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-11T11:30:00+02:00,1465,48,826
Bielefeld,2020-04-11T11:30:00+02:00,285,1,122
Bochum,2020-04-11T11:30:00+02:00,365,12,219
Bonn,2020-04-11T11:30:00+02:00,484,2,116
Borken (Kreis),2020-04-11T11:30:00+02:00,765,19,350
Bottrop,2020-04-11T11:30:00+02:00,85,3,37
Coesfeld (Kreis),2020-04-11T11:30:00+02:00,451,11,216
Dortmund,2020-04-11T11:30:00+02:00,527,3,238
Duisburg,2020-04-11T11:30:00+02:00,539,7,269
Düren (Kreis),2020-04-11T11:30:00+02:00,441,13,204
Düsseldorf,2020-04-11T11:30:00+02:00,750,9,316
Ennepe-Ruhr-Kreis,2020-04-11T11:30:00+02:00,313,3,171
Essen,2020-04-11T11:30:00+02:00,606,22,288
Euskirchen (Kreis),2020-04-11T11:30:00+02:00,253,5,103
Gelsenkirchen,2020-04-11T11:30:00+02:00,238,4,47
Gütersloh (Kreis),2020-04-11T11:30:00+02:00,531,9,305
Hagen,2020-04-11T11:30:00+02:00,141,2,73
Hamm,2020-04-11T11:30:00+02:00,302,8,123
Heinsberg (Kreis),2020-04-11T11:30:00+02:00,1552,50,1015
Herford (Kreis),2020-04-11T11:30:00+02:00,275,3,118
Herne ,2020-04-11T11:30:00+02:00,93,0,47
Hochsauerlandkreis (Kreis),2020-04-11T11:30:00+02:00,428,7,200
Höxter (Kreis),2020-04-11T11:30:00+02:00,167,1,57
Kleve (Kreis),2020-04-11T11:30:00+02:00,401,8,159
Köln,2020-04-11T11:30:00+02:00,1957,43,1150
Krefeld,2020-04-11T11:30:00+02:00,321,5,194
Leverkusen,2020-04-11T11:30:00+02:00,161,2,75
Lippe (Kreis),2020-04-11T11:30:00+02:00,546,8,159
Märkischer Kreis,2020-04-11T11:30:00+02:00,290,8,59
Mettmann (Kreis),2020-04-11T11:30:00+02:00,805,24,344
Minden-Lübbecke (Kreis),2020-04-11T11:30:00+02:00,463,3,235
Mönchengladbach,2020-04-11T11:30:00+02:00,364,15,173
Mülheim / Ruhr,2020-04-11T11:30:00+02:00,131,4,73
Münster,2020-04-11T11:30:00+02:00,606,7,412
Oberbergischer Kreis,2020-04-11T11:30:00+02:00,362,7,186
Oberhausen,2020-04-11T11:30:00+02:00,141,0,50
Olpe (Kreis),2020-04-11T11:30:00+02:00,389,12,153
Paderborn (Kreis),2020-04-11T11:30:00+02:00,470,10,73
Recklinghausen (Kreis),2020-04-11T11:30:00+02:00,669,5,383
Remscheid,2020-04-11T11:30:00+02:00,144,2,61
Rhein-Erft-Kreis,2020-04-11T11:30:00+02:00,761,22,230
Rheinisch-Bergischer Kreis,2020-04-11T11:30:00+02:00,333,3,185
Rhein-Kreis Neuss,2020-04-11T11:30:00+02:00,523,9,326
Rhein-Sieg-Kreis,2020-04-11T11:30:00+02:00,909,18,375
Siegen-Wittgenstein (Kreis),2020-04-11T11:30:00+02:00,200,4,70
Soest (Kreis),2020-04-11T11:30:00+02:00,293,2,151
Solingen,2020-04-11T11:30:00+02:00,176,2,69
Steinfurt (Kreis),2020-04-11T11:30:00+02:00,946,17,357
Unna (Kreis),2020-04-11T11:30:00+02:00,458,12,178
Viersen (Kreis),2020-04-11T11:30:00+02:00,479,14,136
Warendorf (Kreis),2020-04-11T11:30:00+02:00,376,3,264
Wesel (Kreis),2020-04-11T11:30:00+02:00,382,7,247
Wuppertal,2020-04-11T11:30:00+02:00,539,16,189
