Area,Date,Confirmed
Aachen & Städteregion Aachen,2020-03-20T12:00:00+01:00,361
Bielefeld,2020-03-20T12:00:00+01:00,55
Bochum,2020-03-20T12:00:00+01:00,51
Bonn,2020-03-20T12:00:00+01:00,92
Borken (Kreis),2020-03-20T12:00:00+01:00,209
Bottrop,2020-03-20T12:00:00+01:00,13
Coesfeld (Kreis),2020-03-20T12:00:00+01:00,113
Dortmund,2020-03-20T12:00:00+01:00,106
Duisburg,2020-03-20T12:00:00+01:00,75
Düren (Kreis),2020-03-20T12:00:00+01:00,107
Düsseldorf,2020-03-20T12:00:00+01:00,187
Ennepe-Ruhr-Kreis,2020-03-20T12:00:00+01:00,38
Essen,2020-03-20T12:00:00+01:00,164
Euskirchen (Kreis),2020-03-20T12:00:00+01:00,29
Gelsenkirchen,2020-03-20T12:00:00+01:00,38
Gütersloh (Kreis),2020-03-20T12:00:00+01:00,157
Hagen,2020-03-20T12:00:00+01:00,28
Hamm,2020-03-20T12:00:00+01:00,26
Heinsberg (Kreis),2020-03-20T12:00:00+01:00,874
Herford (Kreis),2020-03-20T12:00:00+01:00,72
Herne,2020-03-20T12:00:00+01:00,13
Hochsauerlandkreis (Kreis),2020-03-20T12:00:00+01:00,92
Höxter (Kreis),2020-03-20T12:00:00+01:00,12
Kleve (Kreis),2020-03-20T12:00:00+01:00,89
Köln,2020-03-20T12:00:00+01:00,521
Krefeld,2020-03-20T12:00:00+01:00,71
Leverkusen,2020-03-20T12:00:00+01:00,40
Lippe (Kreis),2020-03-20T12:00:00+01:00,114
Märkischer Kreis,2020-03-20T12:00:00+01:00,36
Mettmann (Kreis),2020-03-20T12:00:00+01:00,86
Minden-Lübbecke (Kreis),2020-03-20T12:00:00+01:00,125
Mönchengladbach,2020-03-20T12:00:00+01:00,51
Mülheim / Ruhr,2020-03-20T12:00:00+01:00,30
Münster,2020-03-20T12:00:00+01:00,173
Oberbergischer Kreis,2020-03-20T12:00:00+01:00,57
Oberhausen,2020-03-20T12:00:00+01:00,34
Olpe (Kreis),2020-03-20T12:00:00+01:00,17
Paderborn (Kreis),2020-03-20T12:00:00+01:00,71
Recklinghausen (Kreis),2020-03-20T12:00:00+01:00,96
Remscheid,2020-03-20T12:00:00+01:00,19
Rhein-Erft-Kreis,2020-03-20T12:00:00+01:00,124
Rheinisch-Bergischer Kreis,2020-03-20T12:00:00+01:00,69
Rhein-Kreis Neuss,2020-03-20T12:00:00+01:00,85
Rhein-Sieg-Kreis,2020-03-20T12:00:00+01:00,204
Siegen-Wittgenstein (Kreis),2020-03-20T12:00:00+01:00,29
Soest (Kreis),2020-03-20T12:00:00+01:00,49
Solingen,2020-03-20T12:00:00+01:00,35
Steinfurt (Kreis),2020-03-20T12:00:00+01:00,150
Unna (Kreis),2020-03-20T12:00:00+01:00,46
Viersen (Kreis),2020-03-20T12:00:00+01:00,70
Warendorf (Kreis),2020-03-20T12:00:00+01:00,138
Wesel (Kreis),2020-03-20T12:00:00+01:00,132
Wuppertal,2020-03-20T12:00:00+01:00,61
