Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-08-05T03:30:00+02:00,2118,100,1942
Bielefeld,2020-08-05T03:30:00+02:00,605,5,555
Bochum,2020-08-05T03:30:00+02:00,821,21,681
Bonn,2020-08-05T03:30:00+02:00,842,9,777
Borken (Kreis),2020-08-05T03:30:00+02:00,1175,38,1102
Bottrop,2020-08-05T03:30:00+02:00,272,7,226
Coesfeld (Kreis),2020-08-05T03:30:00+02:00,891,25,861
Dortmund,2020-08-05T03:30:00+02:00,1289,15,1123
Duisburg,2020-08-05T03:30:00+02:00,1998,64,1781
Düren (Kreis),2020-08-05T03:30:00+02:00,731,40,595
Düsseldorf,2020-08-05T03:30:00+02:00,2182,44,2036
Ennepe-Ruhr-Kreis,2020-08-05T03:30:00+02:00,589,14,549
Essen,2020-08-05T03:30:00+02:00,1275,45,1076
Euskirchen (Kreis),2020-08-05T03:30:00+02:00,614,25,539
Gelsenkirchen,2020-08-05T03:30:00+02:00,652,18,552
Gütersloh (Kreis),2020-08-05T03:30:00+02:00,2648,20,2561
Hagen,2020-08-05T03:30:00+02:00,508,13,449
Hamm,2020-08-05T03:30:00+02:00,597,36,549
Heinsberg (Kreis),2020-08-05T03:30:00+02:00,1994,87,1868
Herford (Kreis),2020-08-05T03:30:00+02:00,443,8,407
Herne,2020-08-05T03:30:00+02:00,330,3,274
Hochsauerlandkreis,2020-08-05T03:30:00+02:00,729,18,677
Höxter (Kreis),2020-08-05T03:30:00+02:00,379,18,355
Kleve (Kreis),2020-08-05T03:30:00+02:00,919,37,794
Köln,2020-08-05T03:30:00+02:00,3040,109,2696
Krefeld,2020-08-05T03:30:00+02:00,740,24,667
Leverkusen,2020-08-05T03:30:00+02:00,317,5,270
Lippe (Kreis),2020-08-05T03:30:00+02:00,807,30,744
Märkischer Kreis,2020-08-05T03:30:00+02:00,718,31,635
Mettmann (Kreis),2020-08-05T03:30:00+02:00,1395,82,1243
Minden-Lübbecke (Kreis),2020-08-05T03:30:00+02:00,578,13,488
Mönchengladbach,2020-08-05T03:30:00+02:00,821,47,692
Mülheim / Ruhr,2020-08-05T03:30:00+02:00,365,14,310
Münster,2020-08-05T03:30:00+02:00,789,13,736
Oberbergischer Kreis,2020-08-05T03:30:00+02:00,533,18,494
Oberhausen,2020-08-05T03:30:00+02:00,407,11,336
Olpe (Kreis),2020-08-05T03:30:00+02:00,687,56,613
Paderborn (Kreis),2020-08-05T03:30:00+02:00,770,34,707
Recklinghausen (Kreis),2020-08-05T03:30:00+02:00,1563,41,1414
Remscheid,2020-08-05T03:30:00+02:00,283,18,241
Rhein-Erft-Kreis,2020-08-05T03:30:00+02:00,1225,76,1075
Rheinisch-Bergischer Kreis,2020-08-05T03:30:00+02:00,526,22,471
Rhein-Kreis Neuss,2020-08-05T03:30:00+02:00,941,21,828
Rhein-Sieg-Kreis,2020-08-05T03:30:00+02:00,1601,52,1439
Siegen-Wittgenstein (Kreis),2020-08-05T03:30:00+02:00,393,8,320
Soest (Kreis),2020-08-05T03:30:00+02:00,424,8,396
Solingen,2020-08-05T03:30:00+02:00,389,12,303
Steinfurt (Kreis),2020-08-05T03:30:00+02:00,1432,86,1286
Unna (Kreis),2020-08-05T03:30:00+02:00,931,39,769
Viersen (Kreis),2020-08-05T03:30:00+02:00,808,37,724
Warendorf (Kreis),2020-08-05T03:30:00+02:00,883,20,832
Wesel (Kreis),2020-08-05T03:30:00+02:00,970,28,829
Wuppertal,2020-08-05T03:30:00+02:00,1131,86,977
