Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-05-11T03:30:00+02:00,1903,85,1720
Bielefeld,2020-05-11T03:30:00+02:00,387,3,338
Bochum,2020-05-11T03:30:00+02:00,456,17,399
Bonn,2020-05-11T03:30:00+02:00,688,6,509
Borken (Kreis),2020-05-11T03:30:00+02:00,936,37,792
Bottrop,2020-05-11T03:30:00+02:00,178,6,127
Coesfeld (Kreis),2020-05-11T03:30:00+02:00,752,23,450
Dortmund,2020-05-11T03:30:00+02:00,710,6,632
Duisburg,2020-05-11T03:30:00+02:00,989,37,763
Düren (Kreis),2020-05-11T03:30:00+02:00,571,37,492
Düsseldorf,2020-05-11T03:30:00+02:00,1184,27,939
Ennepe-Ruhr-Kreis,2020-05-11T03:30:00+02:00,408,13,335
Essen,2020-05-11T03:30:00+02:00,787,34,651
Euskirchen (Kreis),2020-05-11T03:30:00+02:00,407,18,278
Gelsenkirchen,2020-05-11T03:30:00+02:00,357,12,279
Gütersloh (Kreis),2020-05-11T03:30:00+02:00,595,19,549
Hagen,2020-05-11T03:30:00+02:00,302,10,199
Hamm,2020-05-11T03:30:00+02:00,460,33,326
Heinsberg (Kreis),2020-05-11T03:30:00+02:00,1787,67,1587
Herford (Kreis),2020-05-11T03:30:00+02:00,328,7,290
Herne,2020-05-11T03:30:00+02:00,178,1,139
Hochsauerlandkreis (Kreis),2020-05-11T03:30:00+02:00,593,18,509
Höxter (Kreis),2020-05-11T03:30:00+02:00,317,15,243
Kleve (Kreis),2020-05-11T03:30:00+02:00,590,29,467
Köln,2020-05-11T03:30:00+02:00,2378,96,2170
Krefeld,2020-05-11T03:30:00+02:00,555,21,450
Leverkusen,2020-05-11T03:30:00+02:00,217,5,185
Lippe (Kreis),2020-05-11T03:30:00+02:00,738,29,565
Märkischer Kreis,2020-05-11T03:30:00+02:00,582,25,425
Mettmann (Kreis),2020-05-11T03:30:00+02:00,887,67,724
Minden-Lübbecke (Kreis),2020-05-11T03:30:00+02:00,453,7,379
Mönchengladbach,2020-05-11T03:30:00+02:00,536,37,387
Mülheim / Ruhr,2020-05-11T03:30:00+02:00,186,9,151
Münster,2020-05-11T03:30:00+02:00,644,13,613
Oberbergischer Kreis,2020-05-11T03:30:00+02:00,464,15,405
Oberhausen,2020-05-11T03:30:00+02:00,245,3,178
Olpe (Kreis),2020-05-11T03:30:00+02:00,603,47,514
Paderborn (Kreis),2020-05-11T03:30:00+02:00,596,30,484
Recklinghausen (Kreis),2020-05-11T03:30:00+02:00,1187,32,936
Remscheid,2020-05-11T03:30:00+02:00,223,15,211
Rhein-Erft-Kreis,2020-05-11T03:30:00+02:00,1056,67,848
Rheinisch-Bergischer Kreis,2020-05-11T03:30:00+02:00,442,18,350
Rhein-Kreis Neuss,2020-05-11T03:30:00+02:00,655,18,557
Rhein-Sieg-Kreis,2020-05-11T03:30:00+02:00,1203,45,1044
Siegen-Wittgenstein (Kreis),2020-05-11T03:30:00+02:00,303,8,244
Soest (Kreis),2020-05-11T03:30:00+02:00,355,6,327
Solingen,2020-05-11T03:30:00+02:00,233,7,205
Steinfurt (Kreis),2020-05-11T03:30:00+02:00,1290,74,1053
Unna (Kreis),2020-05-11T03:30:00+02:00,648,31,402
Viersen (Kreis),2020-05-11T03:30:00+02:00,678,33,440
Warendorf (Kreis),2020-05-11T03:30:00+02:00,476,16,415
Wesel (Kreis),2020-05-11T03:30:00+02:00,552,26,438
Wuppertal,2020-05-11T03:30:00+02:00,866,76,595
