Area,Date,Confirmed
Aachen & Städteregion Aachen,2020-03-23T10:45:00+01:00,513
Bielefeld,2020-03-23T10:45:00+01:00,93
Bochum,2020-03-23T10:45:00+01:00,120
Bonn,2020-03-23T10:45:00+01:00,151
Borken (Kreis),2020-03-23T10:45:00+01:00,282
Bottrop,2020-03-23T10:45:00+01:00,17
Coesfeld (Kreis),2020-03-23T10:45:00+01:00,152
Dortmund,2020-03-23T10:45:00+01:00,160
Duisburg,2020-03-23T10:45:00+01:00,133
Düren (Kreis),2020-03-23T10:45:00+01:00,142
Düsseldorf,2020-03-23T10:45:00+01:00,205
Ennepe-Ruhr-Kreis,2020-03-23T10:45:00+01:00,61
Essen,2020-03-23T10:45:00+01:00,228
Euskirchen (Kreis),2020-03-23T10:45:00+01:00,53
Gelsenkirchen,2020-03-23T10:45:00+01:00,45
Gütersloh (Kreis),2020-03-23T10:45:00+01:00,219
Hagen,2020-03-23T10:45:00+01:00,43
Hamm,2020-03-23T10:45:00+01:00,81
Heinsberg (Kreis),2020-03-23T10:45:00+01:00,984
Herford (Kreis),2020-03-23T10:45:00+01:00,97
Herne ,2020-03-23T10:45:00+01:00,23
Hochsauerlandkreis (Kreis),2020-03-23T10:45:00+01:00,131
Höxter,2020-03-23T10:45:00+01:00,21
Kleve (Kreis),2020-03-23T10:45:00+01:00,109
Köln,2020-03-23T10:45:00+01:00,809
Krefeld,2020-03-23T10:45:00+01:00,71
Leverkusen,2020-03-23T10:45:00+01:00,48
Lippe (Kreis),2020-03-23T10:45:00+01:00,158
Märkischer Kreis,2020-03-23T10:45:00+01:00,44
Mettmann (Kreis),2020-03-23T10:45:00+01:00,152
Minden-Lübbecke (Kreis),2020-03-23T10:45:00+01:00,153
Mönchengladbach,2020-03-23T10:45:00+01:00,77
Mülheim / Ruhr,2020-03-23T10:45:00+01:00,36
Münster,2020-03-23T10:45:00+01:00,266
Oberbergischer Kreis,2020-03-23T10:45:00+01:00,94
Oberhausen,2020-03-23T10:45:00+01:00,37
Olpe (Kreis),2020-03-23T10:45:00+01:00,17
Paderborn (Kreis),2020-03-23T10:45:00+01:00,89
Recklinghausen (Kreis),2020-03-23T10:45:00+01:00,149
Remscheid,2020-03-23T10:45:00+01:00,30
Rhein-Erft-Kreis,2020-03-23T10:45:00+01:00,180
Rheinisch-Bergischer Kreis,2020-03-23T10:45:00+01:00,104
Rhein-Kreis Neuss,2020-03-23T10:45:00+01:00,140
Rhein-Sieg-Kreis,2020-03-23T10:45:00+01:00,305
Siegen-Wittgenstein (Kreis),2020-03-23T10:45:00+01:00,39
Soest (Kreis),2020-03-23T10:45:00+01:00,93
Solingen,2020-03-23T10:45:00+01:00,38
Steinfurt (Kreis),2020-03-23T10:45:00+01:00,201
Unna (Kreis),2020-03-23T10:45:00+01:00,98
Viersen (Kreis),2020-03-23T10:45:00+01:00,123
Warendorf (Kreis),2020-03-23T10:45:00+01:00,199
Wesel (Kreis),2020-03-23T10:45:00+01:00,124
Wuppertal,2020-03-23T10:45:00+01:00,74
