Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-05-16T03:30:00+02:00,1947,87,1764
Bielefeld,2020-05-16T03:30:00+02:00,408,4,364
Bochum,2020-05-16T03:30:00+02:00,489,18,408
Bonn,2020-05-16T03:30:00+02:00,692,6,657
Borken (Kreis),2020-05-16T03:30:00+02:00,988,37,821
Bottrop,2020-05-16T03:30:00+02:00,186,6,148
Coesfeld (Kreis),2020-05-16T03:30:00+02:00,816,23,473
Dortmund,2020-05-16T03:30:00+02:00,721,6,684
Duisburg,2020-05-16T03:30:00+02:00,1042,45,790
Düren (Kreis),2020-05-16T03:30:00+02:00,583,38,513
Düsseldorf,2020-05-16T03:30:00+02:00,1259,30,999
Ennepe-Ruhr-Kreis,2020-05-16T03:30:00+02:00,413,14,353
Essen,2020-05-16T03:30:00+02:00,812,35,673
Euskirchen (Kreis),2020-05-16T03:30:00+02:00,432,20,305
Gelsenkirchen,2020-05-16T03:30:00+02:00,369,12,292
Gütersloh (Kreis),2020-05-16T03:30:00+02:00,605,19,563
Hagen,2020-05-16T03:30:00+02:00,315,11,244
Hamm,2020-05-16T03:30:00+02:00,470,36,345
Heinsberg (Kreis),2020-05-16T03:30:00+02:00,1821,68,1630
Herford (Kreis),2020-05-16T03:30:00+02:00,329,7,305
Herne,2020-05-16T03:30:00+02:00,185,1,159
Hochsauerlandkreis (Kreis),2020-05-16T03:30:00+02:00,599,17,557
Höxter (Kreis),2020-05-16T03:30:00+02:00,332,15,262
Kleve (Kreis),2020-05-16T03:30:00+02:00,623,33,508
Köln,2020-05-16T03:30:00+02:00,2422,96,2191
Krefeld,2020-05-16T03:30:00+02:00,584,22,490
Leverkusen,2020-05-16T03:30:00+02:00,224,5,197
Lippe (Kreis),2020-05-16T03:30:00+02:00,738,29,648
Märkischer Kreis,2020-05-16T03:30:00+02:00,589,27,446
Mettmann (Kreis),2020-05-16T03:30:00+02:00,905,71,764
Minden-Lübbecke (Kreis),2020-05-16T03:30:00+02:00,467,8,402
Mönchengladbach,2020-05-16T03:30:00+02:00,567,38,419
Mülheim / Ruhr,2020-05-16T03:30:00+02:00,192,9,154
Münster,2020-05-16T03:30:00+02:00,672,13,617
Oberbergischer Kreis,2020-05-16T03:30:00+02:00,472,16,429
Oberhausen,2020-05-16T03:30:00+02:00,254,6,193
Olpe (Kreis),2020-05-16T03:30:00+02:00,618,52,519
Paderborn (Kreis),2020-05-16T03:30:00+02:00,612,31,519
Recklinghausen (Kreis),2020-05-16T03:30:00+02:00,1239,34,1011
Remscheid,2020-05-16T03:30:00+02:00,233,15,219
Rhein-Erft-Kreis,2020-05-16T03:30:00+02:00,1076,71,896
Rheinisch-Bergischer Kreis,2020-05-16T03:30:00+02:00,451,18,384
Rhein-Kreis Neuss,2020-05-16T03:30:00+02:00,657,18,591
Rhein-Sieg-Kreis,2020-05-16T03:30:00+02:00,1211,48,1087
Siegen-Wittgenstein (Kreis),2020-05-16T03:30:00+02:00,307,8,271
Soest (Kreis),2020-05-16T03:30:00+02:00,358,6,336
Solingen,2020-05-16T03:30:00+02:00,239,7,214
Steinfurt (Kreis),2020-05-16T03:30:00+02:00,1316,77,1110
Unna (Kreis),2020-05-16T03:30:00+02:00,651,35,423
Viersen (Kreis),2020-05-16T03:30:00+02:00,686,35,477
Warendorf (Kreis),2020-05-16T03:30:00+02:00,482,16,438
Wesel (Kreis),2020-05-16T03:30:00+02:00,588,26,476
Wuppertal,2020-05-16T03:30:00+02:00,888,77,662
