Area,Date,Confirmed,EConfirmed,Deaths,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-04-17T14:00:00+02:00,1623,1595,59,61,1058
Bielefeld,2020-04-17T14:00:00+02:00,336,210,1,0,176
Bochum,2020-04-17T14:00:00+02:00,397,385,15,14,270
Bonn,2020-04-17T14:00:00+02:00,552,554,4,5,332
Borken (Kreis),2020-04-17T14:00:00+02:00,822,814,26,24,500
Bottrop,2020-04-17T14:00:00+02:00,105,105,5,5,51
Coesfeld (Kreis),2020-04-17T14:00:00+02:00,473,458,13,16,319
Dortmund,2020-04-17T14:00:00+02:00,583,583,3,5,360
Duisburg,2020-04-17T14:00:00+02:00,636,613,9,9,367
Düren (Kreis),2020-04-17T14:00:00+02:00,499,467,17,18,263
Düsseldorf,2020-04-17T14:00:00+02:00,858,858,14,14,485
Ennepe-Ruhr-Kreis,2020-04-17T14:00:00+02:00,345,342,8,6,212
Essen,2020-04-17T14:00:00+02:00,657,539,28,27,371
Euskirchen (Kreis),2020-04-17T14:00:00+02:00,299,298,8,9,139
Gelsenkirchen,2020-04-17T14:00:00+02:00,265,227,9,7,115
Gütersloh (Kreis),2020-04-17T14:00:00+02:00,563,499,14,14,382
Hagen,2020-04-17T14:00:00+02:00,189,189,2,3,103
Hamm,2020-04-17T14:00:00+02:00,354,354,14,16,152
Heinsberg (Kreis),2020-04-17T14:00:00+02:00,1615,1619,55,52,1175
Herford (Kreis),2020-04-17T14:00:00+02:00,299,289,5,1,191
Herne,2020-04-17T14:00:00+02:00,119,124,1,1,60
Hochsauerlandkreis,2020-04-17T14:00:00+02:00,536,532,12,11,295
Höxter (Kreis),2020-04-17T14:00:00+02:00,243,239,1,1,115
Kleve (Kreis),2020-04-17T14:00:00+02:00,447,465,13,11,234
Köln,2020-04-17T14:00:00+02:00,2130,2131,63,58,1922
Krefeld,2020-04-17T14:00:00+02:00,373,314,9,2,260
Leverkusen,2020-04-17T14:00:00+02:00,174,168,3,3,119
Lippe (Kreis),2020-04-17T14:00:00+02:00,597,562,19,16,303
Märkischer Kreis,2020-04-17T14:00:00+02:00,421,420,12,14,169
Mettmann (Kreis),2020-04-17T14:00:00+02:00,913,725,43,42,486
Minden-Lübbecke (Kreis),2020-04-17T14:00:00+02:00,386,387,3,3,255
Mönchengladbach,2020-04-17T14:00:00+02:00,403,393,23,23,224
Mülheim / Ruhr,2020-04-17T14:00:00+02:00,136,139,4,4,90
Münster,2020-04-17T14:00:00+02:00,625,600,7,8,493
Oberbergischer Kreis,2020-04-17T14:00:00+02:00,402,388,10,10,246
Oberhausen,2020-04-17T14:00:00+02:00,157,151,0,0,77
Olpe (Kreis),2020-04-17T14:00:00+02:00,473,450,16,16,235
Paderborn (Kreis),2020-04-17T14:00:00+02:00,523,514,22,21,131
Recklinghausen (Kreis),2020-04-17T14:00:00+02:00,794,724,7,6,500
Remscheid,2020-04-17T14:00:00+02:00,189,189,4,3,92
Rhein-Erft-Kreis,2020-04-17T14:00:00+02:00,822,823,33,36,321
Rheinisch-Bergischer Kreis,2020-04-17T14:00:00+02:00,391,390,8,4,230
Rhein-Kreis Neuss,2020-04-17T14:00:00+02:00,529,520,13,13,428
Rhein-Sieg-Kreis,2020-04-17T14:00:00+02:00,995,991,24,20,493
Siegen-Wittgenstein (Kreis),2020-04-17T14:00:00+02:00,256,231,6,4,105
Soest (Kreis),2020-04-17T14:00:00+02:00,322,322,3,3,207
Solingen,2020-04-17T14:00:00+02:00,207,194,3,3,115
Steinfurt (Kreis),2020-04-17T14:00:00+02:00,1053,1021,41,24,488
Unna (Kreis),2020-04-17T14:00:00+02:00,532,444,22,16,249
Viersen (Kreis),2020-04-17T14:00:00+02:00,509,454,22,25,201
Warendorf (Kreis),2020-04-17T14:00:00+02:00,422,417,7,6,302
Wesel (Kreis),2020-04-17T14:00:00+02:00,426,411,14,14,272
Wuppertal,2020-04-17T14:00:00+02:00,632,607,31,26,285
