Kommune,Timestamp,Recovered
Altomünster,2022-01-20T21:13:44+01:00,751
Bergkirchen,2022-01-20T21:13:44+01:00,725
Dachau,2022-01-20T21:13:44+01:00,5369
Erdweg,2022-01-20T21:13:44+01:00,580
Haimhausen,2022-01-20T21:13:44+01:00,485
Hebertshausen,2022-01-20T21:13:44+01:00,486
Hilgertshausen-Tandern,2022-01-20T21:13:44+01:00,299
Karlsfeld,2022-01-20T21:13:44+01:00,2650
Markt Indersdorf,2022-01-20T21:13:44+01:00,1063
Odelzhausen,2022-01-20T21:13:44+01:00,547
Petershausen,2022-01-20T21:13:44+01:00,603
Pfaffenhofen a.d. Glonn,2022-01-20T21:13:44+01:00,214
Röhrmoos,2022-01-20T21:13:44+01:00,741
Schwabhausen,2022-01-20T21:13:44+01:00,701
Sulzemoos,2022-01-20T21:13:44+01:00,284
Vierkirchen,2022-01-20T21:13:44+01:00,451
Weichs,2022-01-20T21:13:44+01:00,414
