Kommune,Timestamp,Recovered
Altomünster,2022-02-14T12:10:25+01:00,873
Bergkirchen,2022-02-14T12:10:25+01:00,922
Dachau,2022-02-14T12:10:25+01:00,6515
Erdweg,2022-02-14T12:10:25+01:00,688
Haimhausen,2022-02-14T12:10:25+01:00,637
Hebertshausen,2022-02-14T12:10:25+01:00,602
Hilgertshausen-Tandern,2022-02-14T12:10:25+01:00,338
Karlsfeld,2022-02-14T12:10:25+01:00,3297
Markt Indersdorf,2022-02-14T12:10:25+01:00,1318
Odelzhausen,2022-02-14T12:10:25+01:00,656
Petershausen,2022-02-14T12:10:25+01:00,707
Pfaffenhofen a.d. Glonn,2022-02-14T12:10:25+01:00,271
Röhrmoos,2022-02-14T12:10:25+01:00,861
Schwabhausen,2022-02-14T12:10:25+01:00,818
Sulzemoos,2022-02-14T12:10:25+01:00,342
Vierkirchen,2022-02-14T12:10:25+01:00,510
Weichs,2022-02-14T12:10:25+01:00,487
