Kommune,Timestamp,Confirmed
Altomünster,2022-01-10T21:12:48+01:00,763
Bergkirchen,2022-01-10T21:12:48+01:00,744
Dachau,2022-01-10T21:12:48+01:00,5417
Erdweg,2022-01-10T21:12:48+01:00,581
Haimhausen,2022-01-10T21:12:48+01:00,481
Hebertshausen,2022-01-10T21:12:48+01:00,502
Hilgertshausen-Tandern,2022-01-10T21:12:48+01:00,306
Karlsfeld,2022-01-10T21:12:48+01:00,2703
Markt Indersdorf,2022-01-10T21:12:48+01:00,1086
Odelzhausen,2022-01-10T21:12:48+01:00,561
Petershausen,2022-01-10T21:12:48+01:00,612
Pfaffenhofen a.d. Glonn,2022-01-10T21:12:48+01:00,214
Röhrmoos,2022-01-10T21:12:48+01:00,759
Schwabhausen,2022-01-10T21:12:48+01:00,703
Sulzemoos,2022-01-10T21:12:48+01:00,284
Vierkirchen,2022-01-10T21:12:48+01:00,453
Weichs,2022-01-10T21:12:48+01:00,441
