Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-04T17:15:14+01:00,254,236
Bergkirchen,2021-01-04T17:15:14+01:00,206,192
Dachau,2021-01-04T17:15:14+01:00,1603,1481
Erdweg,2021-01-04T17:15:14+01:00,169,156
Haimhausen,2021-01-04T17:15:14+01:00,150,134
Hebertshausen,2021-01-04T17:15:14+01:00,108,97
Hilgertshausen-Tandern,2021-01-04T17:15:14+01:00,69,63
Karlsfeld,2021-01-04T17:15:14+01:00,993,901
Markt Indersdorf,2021-01-04T17:15:14+01:00,295,262
Odelzhausen,2021-01-04T17:15:14+01:00,136,127
Petershausen,2021-01-04T17:15:14+01:00,94,84
Pfaffenhofen a.d. Glonn,2021-01-04T17:15:14+01:00,58,55
Röhrmoos,2021-01-04T17:15:14+01:00,210,199
Schwabhausen,2021-01-04T17:15:14+01:00,187,168
Sulzemoos,2021-01-04T17:15:14+01:00,81,78
Vierkirchen,2021-01-04T17:15:14+01:00,97,92
Weichs,2021-01-04T17:15:14+01:00,74,64
