Kommune,Timestamp,Recovered
Altomünster,2021-06-10T21:15:18+02:00,405
Bergkirchen,2021-06-10T21:15:18+02:00,367
Dachau,2021-06-10T21:15:18+02:00,2515
Erdweg,2021-06-10T21:15:18+02:00,316
Haimhausen,2021-06-10T21:15:18+02:00,226
Hebertshausen,2021-06-10T21:15:18+02:00,221
Hilgertshausen-Tandern,2021-06-10T21:15:18+02:00,150
Karlsfeld,2021-06-10T21:15:18+02:00,1406
Markt Indersdorf,2021-06-10T21:15:18+02:00,570
Odelzhausen,2021-06-10T21:15:18+02:00,246
Petershausen,2021-06-10T21:15:18+02:00,261
Pfaffenhofen a.d. Glonn,2021-06-10T21:15:18+02:00,94
Röhrmoos,2021-06-10T21:15:18+02:00,401
Schwabhausen,2021-06-10T21:15:18+02:00,302
Sulzemoos,2021-06-10T21:15:18+02:00,128
Vierkirchen,2021-06-10T21:15:18+02:00,234
Weichs,2021-06-10T21:15:18+02:00,178
