Kommune,Timestamp,Recovered
Altomünster,2021-11-15T21:14:52+01:00,503
Bergkirchen,2021-11-15T21:14:52+01:00,459
Dachau,2021-11-15T21:14:52+01:00,3409
Erdweg,2021-11-15T21:14:52+01:00,416
Haimhausen,2021-11-15T21:14:52+01:00,313
Hebertshausen,2021-11-15T21:14:52+01:00,277
Hilgertshausen-Tandern,2021-11-15T21:14:52+01:00,204
Karlsfeld,2021-11-15T21:14:52+01:00,1790
Markt Indersdorf,2021-11-15T21:14:52+01:00,707
Odelzhausen,2021-11-15T21:14:52+01:00,353
Petershausen,2021-11-15T21:14:52+01:00,418
Pfaffenhofen a.d. Glonn,2021-11-15T21:14:52+01:00,120
Röhrmoos,2021-11-15T21:14:52+01:00,488
Schwabhausen,2021-11-15T21:14:52+01:00,408
Sulzemoos,2021-11-15T21:14:52+01:00,176
Vierkirchen,2021-11-15T21:14:52+01:00,303
Weichs,2021-11-15T21:14:52+01:00,239
