Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-22T17:13:37+01:00,314,289
Bergkirchen,2021-03-22T17:13:37+01:00,264,247
Dachau,2021-03-22T17:13:37+01:00,1970,1855
Erdweg,2021-03-22T17:13:37+01:00,228,217
Haimhausen,2021-03-22T17:13:37+01:00,180,173
Hebertshausen,2021-03-22T17:13:37+01:00,139,127
Hilgertshausen-Tandern,2021-03-22T17:13:37+01:00,105,95
Karlsfeld,2021-03-22T17:13:37+01:00,1162,1081
Markt Indersdorf,2021-03-22T17:13:37+01:00,442,356
Odelzhausen,2021-03-22T17:13:37+01:00,189,167
Petershausen,2021-03-22T17:13:37+01:00,159,141
Pfaffenhofen a.d. Glonn,2021-03-22T17:13:37+01:00,76,73
Röhrmoos,2021-03-22T17:13:37+01:00,346,319
Schwabhausen,2021-03-22T17:13:37+01:00,225,215
Sulzemoos,2021-03-22T17:13:37+01:00,100,95
Vierkirchen,2021-03-22T17:13:37+01:00,156,149
Weichs,2021-03-22T17:13:37+01:00,162,138
