Kommune,Timestamp,Confirmed
Altomünster,2022-09-06T10:12:17+02:00,3652
Bergkirchen,2022-09-06T10:12:17+02:00,3739
Dachau,2022-09-06T10:12:17+02:00,23187
Erdweg,2022-09-06T10:12:17+02:00,3059
Haimhausen,2022-09-06T10:12:17+02:00,2697
Hebertshausen,2022-09-06T10:12:17+02:00,2683
Hilgertshausen-Tandern,2022-09-06T10:12:17+02:00,1501
Karlsfeld,2022-09-06T10:12:17+02:00,10527
Markt Indersdorf,2022-09-06T10:12:17+02:00,4922
Odelzhausen,2022-09-06T10:12:17+02:00,2452
Petershausen,2022-09-06T10:12:17+02:00,3037
Pfaffenhofen a.d. Glonn,2022-09-06T10:12:17+02:00,1031
Röhrmoos,2022-09-06T10:12:17+02:00,3400
Schwabhausen,2022-09-06T10:12:17+02:00,3129
Sulzemoos,2022-09-06T10:12:17+02:00,1439
Vierkirchen,2022-09-06T10:12:17+02:00,2125
Weichs,2022-09-06T10:12:17+02:00,1688
