Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-10-25T17:14:05+01:00,108,93
Bergkirchen,2020-10-25T17:14:05+01:00,83,76
Dachau,2020-10-25T17:14:05+01:00,477,389
Erdweg,2020-10-25T17:14:05+01:00,40,35
Haimhausen,2020-10-25T17:14:05+01:00,42,37
Hebertshausen,2020-10-25T17:14:05+01:00,42,34
Hilgertshausen-Tandern,2020-10-25T17:14:05+01:00,17,17
Karlsfeld,2020-10-25T17:14:05+01:00,280,233
Markt Indersdorf,2020-10-25T17:14:05+01:00,79,75
Odelzhausen,2020-10-25T17:14:05+01:00,38,22
Petershausen,2020-10-25T17:14:05+01:00,40,35
Pfaffenhofen a.d. Glonn,2020-10-25T17:14:05+01:00,13,10
Röhrmoos,2020-10-25T17:14:05+01:00,148,131
Schwabhausen,2020-10-25T17:14:05+01:00,59,51
Sulzemoos,2020-10-25T17:14:05+01:00,22,19
Vierkirchen,2020-10-25T17:14:05+01:00,43,38
Weichs,2020-10-25T17:14:05+01:00,31,30
