Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-12-28T17:15:19+01:00,244,216
Bergkirchen,2020-12-28T17:15:19+01:00,202,185
Dachau,2020-12-28T17:15:19+01:00,1542,1382
Erdweg,2020-12-28T17:15:19+01:00,163,146
Haimhausen,2020-12-28T17:15:19+01:00,142,126
Hebertshausen,2020-12-28T17:15:19+01:00,100,90
Hilgertshausen-Tandern,2020-12-28T17:15:19+01:00,67,61
Karlsfeld,2020-12-28T17:15:19+01:00,953,855
Markt Indersdorf,2020-12-28T17:15:19+01:00,282,243
Odelzhausen,2020-12-28T17:15:19+01:00,128,121
Petershausen,2020-12-28T17:15:19+01:00,90,82
Pfaffenhofen a.d. Glonn,2020-12-28T17:15:19+01:00,58,49
Röhrmoos,2020-12-28T17:15:19+01:00,205,190
Schwabhausen,2020-12-28T17:15:19+01:00,176,163
Sulzemoos,2020-12-28T17:15:19+01:00,80,78
Vierkirchen,2020-12-28T17:15:19+01:00,94,75
Weichs,2020-12-28T17:15:19+01:00,67,63
