Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-04-29T21:30:00+02:00,85,77
Bergkirchen,2020-04-29T21:30:00+02:00,64,50
Dachau,2020-04-29T21:30:00+02:00,199,171
Erdweg,2020-04-29T21:30:00+02:00,26,22
Haimhausen,2020-04-29T21:30:00+02:00,26,22
Hebertshausen,2020-04-29T21:30:00+02:00,27,16
Hilgertshausen-Tandern,2020-04-29T21:30:00+02:00,13,11
Karlsfeld,2020-04-29T21:30:00+02:00,130,94
Markt Indersdorf,2020-04-29T21:30:00+02:00,50,45
Odelzhausen,2020-04-29T21:30:00+02:00,19,14
Petershausen,2020-04-29T21:30:00+02:00,31,26
Pfaffenhofen a.d. Glonn,2020-04-29T21:30:00+02:00,8,6
Röhrmoos,2020-04-29T21:30:00+02:00,113,71
Schwabhausen,2020-04-29T21:30:00+02:00,29,22
Sulzemoos,2020-04-29T21:30:00+02:00,13,11
Vierkirchen,2020-04-29T21:30:00+02:00,16,12
Weichs,2020-04-29T21:30:00+02:00,14,11
