Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-12-03T17:15:03+01:00,168,143
Bergkirchen,2020-12-03T17:15:03+01:00,159,136
Dachau,2020-12-03T17:15:03+01:00,1129,951
Erdweg,2020-12-03T17:15:03+01:00,101,85
Haimhausen,2020-12-03T17:15:03+01:00,106,75
Hebertshausen,2020-12-03T17:15:03+01:00,81,66
Hilgertshausen-Tandern,2020-12-03T17:15:03+01:00,41,35
Karlsfeld,2020-12-03T17:15:03+01:00,746,593
Markt Indersdorf,2020-12-03T17:15:03+01:00,199,162
Odelzhausen,2020-12-03T17:15:03+01:00,106,97
Petershausen,2020-12-03T17:15:03+01:00,75,61
Pfaffenhofen a.d. Glonn,2020-12-03T17:15:03+01:00,36,31
Röhrmoos,2020-12-03T17:15:03+01:00,181,163
Schwabhausen,2020-12-03T17:15:03+01:00,136,122
Sulzemoos,2020-12-03T17:15:03+01:00,64,48
Vierkirchen,2020-12-03T17:15:03+01:00,61,55
Weichs,2020-12-03T17:15:03+01:00,47,45
