Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-12-17T17:13:57+01:00,221,178
Bergkirchen,2020-12-17T17:13:57+01:00,187,156
Dachau,2020-12-17T17:13:57+01:00,1378,1206
Erdweg,2020-12-17T17:13:57+01:00,138,114
Haimhausen,2020-12-17T17:13:57+01:00,123,109
Hebertshausen,2020-12-17T17:13:57+01:00,91,85
Hilgertshausen-Tandern,2020-12-17T17:13:57+01:00,61,42
Karlsfeld,2020-12-17T17:13:57+01:00,881,742
Markt Indersdorf,2020-12-17T17:13:57+01:00,256,207
Odelzhausen,2020-12-17T17:13:57+01:00,120,105
Petershausen,2020-12-17T17:13:57+01:00,85,76
Pfaffenhofen a.d. Glonn,2020-12-17T17:13:57+01:00,49,36
Röhrmoos,2020-12-17T17:13:57+01:00,195,181
Schwabhausen,2020-12-17T17:13:57+01:00,160,144
Sulzemoos,2020-12-17T17:13:57+01:00,76,66
Vierkirchen,2020-12-17T17:13:57+01:00,77,63
Weichs,2020-12-17T17:13:57+01:00,60,52
