Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-10-30T17:13:55+01:00,112,101
Bergkirchen,2020-10-30T17:13:55+01:00,88,78
Dachau,2020-10-30T17:13:55+01:00,527,430
Erdweg,2020-10-30T17:13:55+01:00,47,37
Haimhausen,2020-10-30T17:13:55+01:00,43,39
Hebertshausen,2020-10-30T17:13:55+01:00,45,37
Hilgertshausen-Tandern,2020-10-30T17:13:55+01:00,17,17
Karlsfeld,2020-10-30T17:13:55+01:00,296,259
Markt Indersdorf,2020-10-30T17:13:55+01:00,84,76
Odelzhausen,2020-10-30T17:13:55+01:00,51,30
Petershausen,2020-10-30T17:13:55+01:00,44,37
Pfaffenhofen a.d. Glonn,2020-10-30T17:13:55+01:00,18,12
Röhrmoos,2020-10-30T17:13:55+01:00,149,135
Schwabhausen,2020-10-30T17:13:55+01:00,61,55
Sulzemoos,2020-10-30T17:13:55+01:00,22,20
Vierkirchen,2020-10-30T17:13:55+01:00,47,44
Weichs,2020-10-30T17:13:55+01:00,36,31
