Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-04-14T21:30:00+02:00,72,64
Bergkirchen,2020-04-14T21:30:00+02:00,53,44
Dachau,2020-04-14T21:30:00+02:00,163,108
Erdweg,2020-04-14T21:30:00+02:00,21,20
Haimhausen,2020-04-14T21:30:00+02:00,23,18
Hebertshausen,2020-04-14T21:30:00+02:00,14,10
Hilgertshausen-Tandern,2020-04-14T21:30:00+02:00,12,9
Karlsfeld,2020-04-14T21:30:00+02:00,110,64
Markt Indersdorf,2020-04-14T21:30:00+02:00,43,32
Odelzhausen,2020-04-14T21:30:00+02:00,16,12
Petershausen,2020-04-14T21:30:00+02:00,26,19
Pfaffenhofen a.d. Glonn,2020-04-14T21:30:00+02:00,5,4
Röhrmoos,2020-04-14T21:30:00+02:00,86,18
Schwabhausen,2020-04-14T21:30:00+02:00,22,18
Sulzemoos,2020-04-14T21:30:00+02:00,13,11
Vierkirchen,2020-04-14T21:30:00+02:00,11,9
Weichs,2020-04-14T21:30:00+02:00,11,7
