Kommune,Timestamp,Recovered
Altomünster,2022-08-15T21:13:23+02:00,3557
Bergkirchen,2022-08-15T21:13:23+02:00,3547
Dachau,2022-08-15T21:13:23+02:00,22175
Erdweg,2022-08-15T21:13:23+02:00,2968
Haimhausen,2022-08-15T21:13:23+02:00,2622
Hebertshausen,2022-08-15T21:13:23+02:00,2567
Hilgertshausen-Tandern,2022-08-15T21:13:23+02:00,1469
Karlsfeld,2022-08-15T21:13:23+02:00,10229
Markt Indersdorf,2022-08-15T21:13:23+02:00,4756
Odelzhausen,2022-08-15T21:13:23+02:00,2355
Petershausen,2022-08-15T21:13:23+02:00,2938
Pfaffenhofen a.d. Glonn,2022-08-15T21:13:23+02:00,1005
Röhrmoos,2022-08-15T21:13:23+02:00,3236
Schwabhausen,2022-08-15T21:13:23+02:00,3001
Sulzemoos,2022-08-15T21:13:23+02:00,1393
Vierkirchen,2022-08-15T21:13:23+02:00,2058
Weichs,2022-08-15T21:13:23+02:00,1594
