Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-05-06T21:30:00+02:00,85,82
Bergkirchen,2020-05-06T21:30:00+02:00,64,57
Dachau,2020-05-06T21:30:00+02:00,202,188
Erdweg,2020-05-06T21:30:00+02:00,28,26
Haimhausen,2020-05-06T21:30:00+02:00,27,24
Hebertshausen,2020-05-06T21:30:00+02:00,27,27
Hilgertshausen-Tandern,2020-05-06T21:30:00+02:00,13,12
Karlsfeld,2020-05-06T21:30:00+02:00,134,115
Markt Indersdorf,2020-05-06T21:30:00+02:00,50,46
Odelzhausen,2020-05-06T21:30:00+02:00,19,17
Petershausen,2020-05-06T21:30:00+02:00,32,31
Pfaffenhofen a.d. Glonn,2020-05-06T21:30:00+02:00,8,7
Röhrmoos,2020-05-06T21:30:00+02:00,113,98
Schwabhausen,2020-05-06T21:30:00+02:00,29,22
Sulzemoos,2020-05-06T21:30:00+02:00,13,12
Vierkirchen,2020-05-06T21:30:00+02:00,26,15
Weichs,2020-05-06T21:30:00+02:00,17,11
