Kommune,Timestamp,Recovered
Altomünster,2021-12-23T21:15:00+01:00,686
Bergkirchen,2021-12-23T21:15:00+01:00,649
Dachau,2021-12-23T21:15:00+01:00,4687
Erdweg,2021-12-23T21:15:00+01:00,542
Haimhausen,2021-12-23T21:15:00+01:00,426
Hebertshausen,2021-12-23T21:15:00+01:00,414
Hilgertshausen-Tandern,2021-12-23T21:15:00+01:00,274
Karlsfeld,2021-12-23T21:15:00+01:00,2381
Markt Indersdorf,2021-12-23T21:15:00+01:00,977
Odelzhausen,2021-12-23T21:15:00+01:00,483
Petershausen,2021-12-23T21:15:00+01:00,543
Pfaffenhofen a.d. Glonn,2021-12-23T21:15:00+01:00,175
Röhrmoos,2021-12-23T21:15:00+01:00,675
Schwabhausen,2021-12-23T21:15:00+01:00,612
Sulzemoos,2021-12-23T21:15:00+01:00,250
Vierkirchen,2021-12-23T21:15:00+01:00,414
Weichs,2021-12-23T21:15:00+01:00,366
