Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-08T17:12:42+01:00,295,280
Bergkirchen,2021-03-08T17:12:42+01:00,254,245
Dachau,2021-03-08T17:12:42+01:00,1871,1825
Erdweg,2021-03-08T17:12:42+01:00,219,209
Haimhausen,2021-03-08T17:12:42+01:00,172,171
Hebertshausen,2021-03-08T17:12:42+01:00,129,125
Hilgertshausen-Tandern,2021-03-08T17:12:42+01:00,96,92
Karlsfeld,2021-03-08T17:12:42+01:00,1112,1055
Markt Indersdorf,2021-03-08T17:12:42+01:00,370,352
Odelzhausen,2021-03-08T17:12:42+01:00,173,163
Petershausen,2021-03-08T17:12:42+01:00,142,137
Pfaffenhofen a.d. Glonn,2021-03-08T17:12:42+01:00,74,72
Röhrmoos,2021-03-08T17:12:42+01:00,332,315
Schwabhausen,2021-03-08T17:12:42+01:00,215,210
Sulzemoos,2021-03-08T17:12:42+01:00,96,95
Vierkirchen,2021-03-08T17:12:42+01:00,149,142
Weichs,2021-03-08T17:12:42+01:00,159,136
