Kommune,Timestamp,Confirmed
Altomünster,2021-11-23T12:12:36+01:00,574
Bergkirchen,2021-11-23T12:12:36+01:00,530
Dachau,2021-11-23T12:12:36+01:00,3970
Erdweg,2021-11-23T12:12:36+01:00,454
Haimhausen,2021-11-23T12:12:36+01:00,374
Hebertshausen,2021-11-23T12:12:36+01:00,354
Hilgertshausen-Tandern,2021-11-23T12:12:36+01:00,236
Karlsfeld,2021-11-23T12:12:36+01:00,2083
Markt Indersdorf,2021-11-23T12:12:36+01:00,828
Odelzhausen,2021-11-23T12:12:36+01:00,403
Petershausen,2021-11-23T12:12:36+01:00,469
Pfaffenhofen a.d. Glonn,2021-11-23T12:12:36+01:00,143
Röhrmoos,2021-11-23T12:12:36+01:00,560
Schwabhausen,2021-11-23T12:12:36+01:00,479
Sulzemoos,2021-11-23T12:12:36+01:00,200
Vierkirchen,2021-11-23T12:12:36+01:00,358
Weichs,2021-11-23T12:12:36+01:00,307
