Kommune,Timestamp,Recovered
Altomünster,2021-10-18T21:14:16+02:00,472
Bergkirchen,2021-10-18T21:14:16+02:00,425
Dachau,2021-10-18T21:14:16+02:00,3045
Erdweg,2021-10-18T21:14:16+02:00,388
Haimhausen,2021-10-18T21:14:16+02:00,272
Hebertshausen,2021-10-18T21:14:16+02:00,243
Hilgertshausen-Tandern,2021-10-18T21:14:16+02:00,173
Karlsfeld,2021-10-18T21:14:16+02:00,1661
Markt Indersdorf,2021-10-18T21:14:16+02:00,646
Odelzhausen,2021-10-18T21:14:16+02:00,321
Petershausen,2021-10-18T21:14:16+02:00,324
Pfaffenhofen a.d. Glonn,2021-10-18T21:14:16+02:00,108
Röhrmoos,2021-10-18T21:14:16+02:00,446
Schwabhausen,2021-10-18T21:14:16+02:00,377
Sulzemoos,2021-10-18T21:14:16+02:00,146
Vierkirchen,2021-10-18T21:14:16+02:00,275
Weichs,2021-10-18T21:14:16+02:00,208
