Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-18T17:13:34+01:00,303,286
Bergkirchen,2021-03-18T17:13:34+01:00,261,245
Dachau,2021-03-18T17:13:34+01:00,1918,1847
Erdweg,2021-03-18T17:13:34+01:00,221,218
Haimhausen,2021-03-18T17:13:34+01:00,179,172
Hebertshausen,2021-03-18T17:13:34+01:00,134,127
Hilgertshausen-Tandern,2021-03-18T17:13:34+01:00,105,95
Karlsfeld,2021-03-18T17:13:34+01:00,1147,1068
Markt Indersdorf,2021-03-18T17:13:34+01:00,430,355
Odelzhausen,2021-03-18T17:13:34+01:00,182,164
Petershausen,2021-03-18T17:13:34+01:00,153,139
Pfaffenhofen a.d. Glonn,2021-03-18T17:13:34+01:00,76,73
Röhrmoos,2021-03-18T17:13:34+01:00,338,318
Schwabhausen,2021-03-18T17:13:34+01:00,224,213
Sulzemoos,2021-03-18T17:13:34+01:00,98,95
Vierkirchen,2021-03-18T17:13:34+01:00,153,144
Weichs,2021-03-18T17:13:34+01:00,160,138
