Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-11T17:13:57+01:00,125,116
Bergkirchen,2020-11-11T17:13:57+01:00,113,91
Dachau,2020-11-11T17:13:57+01:00,732,599
Erdweg,2020-11-11T17:13:57+01:00,59,51
Haimhausen,2020-11-11T17:13:57+01:00,57,50
Hebertshausen,2020-11-11T17:13:57+01:00,59,46
Hilgertshausen-Tandern,2020-11-11T17:13:57+01:00,26,18
Karlsfeld,2020-11-11T17:13:57+01:00,489,322
Markt Indersdorf,2020-11-11T17:13:57+01:00,130,97
Odelzhausen,2020-11-11T17:13:57+01:00,62,54
Petershausen,2020-11-11T17:13:57+01:00,52,43
Pfaffenhofen a.d. Glonn,2020-11-11T17:13:57+01:00,22,18
Röhrmoos,2020-11-11T17:13:57+01:00,159,143
Schwabhausen,2020-11-11T17:13:57+01:00,99,79
Sulzemoos,2020-11-11T17:13:57+01:00,42,26
Vierkirchen,2020-11-11T17:13:57+01:00,52,49
Weichs,2020-11-11T17:13:57+01:00,43,37
