Kommune,Timestamp,Recovered
Altomünster,2022-02-07T21:13:13+01:00,817
Bergkirchen,2022-02-07T21:13:13+01:00,855
Dachau,2022-02-07T21:13:13+01:00,6110
Erdweg,2022-02-07T21:13:13+01:00,655
Haimhausen,2022-02-07T21:13:13+01:00,585
Hebertshausen,2022-02-07T21:13:13+01:00,560
Hilgertshausen-Tandern,2022-02-07T21:13:13+01:00,323
Karlsfeld,2022-02-07T21:13:13+01:00,3086
Markt Indersdorf,2022-02-07T21:13:13+01:00,1226
Odelzhausen,2022-02-07T21:13:13+01:00,617
Petershausen,2022-02-07T21:13:13+01:00,667
Pfaffenhofen a.d. Glonn,2022-02-07T21:13:13+01:00,249
Röhrmoos,2022-02-07T21:13:13+01:00,814
Schwabhausen,2022-02-07T21:13:13+01:00,782
Sulzemoos,2022-02-07T21:13:13+01:00,319
Vierkirchen,2022-02-07T21:13:13+01:00,490
Weichs,2022-02-07T21:13:13+01:00,458
