Kommune,Timestamp,Confirmed
Altomünster,2021-09-29T08:11:09+02:00,465
Bergkirchen,2021-09-29T08:11:09+02:00,432
Dachau,2021-09-29T08:11:09+02:00,3015
Erdweg,2021-09-29T08:11:09+02:00,377
Haimhausen,2021-09-29T08:11:09+02:00,269
Hebertshausen,2021-09-29T08:11:09+02:00,240
Hilgertshausen-Tandern,2021-09-29T08:11:09+02:00,169
Karlsfeld,2021-09-29T08:11:09+02:00,1680
Markt Indersdorf,2021-09-29T08:11:09+02:00,654
Odelzhausen,2021-09-29T08:11:09+02:00,313
Petershausen,2021-09-29T08:11:09+02:00,311
Pfaffenhofen a.d. Glonn,2021-09-29T08:11:09+02:00,110
Röhrmoos,2021-09-29T08:11:09+02:00,447
Schwabhausen,2021-09-29T08:11:09+02:00,370
Sulzemoos,2021-09-29T08:11:09+02:00,141
Vierkirchen,2021-09-29T08:11:09+02:00,275
Weichs,2021-09-29T08:11:09+02:00,226
