Kommune,Timestamp,Recovered
Altomünster,2021-11-25T21:11:12+01:00,540
Bergkirchen,2021-11-25T21:11:12+01:00,493
Dachau,2021-11-25T21:11:12+01:00,3679
Erdweg,2021-11-25T21:11:12+01:00,437
Haimhausen,2021-11-25T21:11:12+01:00,343
Hebertshausen,2021-11-25T21:11:12+01:00,307
Hilgertshausen-Tandern,2021-11-25T21:11:12+01:00,222
Karlsfeld,2021-11-25T21:11:12+01:00,1900
Markt Indersdorf,2021-11-25T21:11:12+01:00,755
Odelzhausen,2021-11-25T21:11:12+01:00,369
Petershausen,2021-11-25T21:11:12+01:00,441
Pfaffenhofen a.d. Glonn,2021-11-25T21:11:12+01:00,133
Röhrmoos,2021-11-25T21:11:12+01:00,516
Schwabhausen,2021-11-25T21:11:12+01:00,447
Sulzemoos,2021-11-25T21:11:12+01:00,187
Vierkirchen,2021-11-25T21:11:12+01:00,331
Weichs,2021-11-25T21:11:12+01:00,262
