Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-13T17:14:09+01:00,261,248
Bergkirchen,2021-01-13T17:14:09+01:00,222,198
Dachau,2021-01-13T17:14:09+01:00,1688,1581
Erdweg,2021-01-13T17:14:09+01:00,179,168
Haimhausen,2021-01-13T17:14:09+01:00,162,147
Hebertshausen,2021-01-13T17:14:09+01:00,114,106
Hilgertshausen-Tandern,2021-01-13T17:14:09+01:00,75,68
Karlsfeld,2021-01-13T17:14:09+01:00,1034,946
Markt Indersdorf,2021-01-13T17:14:09+01:00,311,278
Odelzhausen,2021-01-13T17:14:09+01:00,140,132
Petershausen,2021-01-13T17:14:09+01:00,100,93
Pfaffenhofen a.d. Glonn,2021-01-13T17:14:09+01:00,62,58
Röhrmoos,2021-01-13T17:14:09+01:00,257,203
Schwabhausen,2021-01-13T17:14:09+01:00,199,184
Sulzemoos,2021-01-13T17:14:09+01:00,87,78
Vierkirchen,2021-01-13T17:14:09+01:00,131,95
Weichs,2021-01-13T17:14:09+01:00,90,74
