Kommune,Timestamp,Recovered
Altomünster,2021-10-28T21:14:39+02:00,479
Bergkirchen,2021-10-28T21:14:39+02:00,430
Dachau,2021-10-28T21:14:39+02:00,3123
Erdweg,2021-10-28T21:14:39+02:00,398
Haimhausen,2021-10-28T21:14:39+02:00,278
Hebertshausen,2021-10-28T21:14:39+02:00,246
Hilgertshausen-Tandern,2021-10-28T21:14:39+02:00,180
Karlsfeld,2021-10-28T21:14:39+02:00,1691
Markt Indersdorf,2021-10-28T21:14:39+02:00,653
Odelzhausen,2021-10-28T21:14:39+02:00,335
Petershausen,2021-10-28T21:14:39+02:00,387
Pfaffenhofen a.d. Glonn,2021-10-28T21:14:39+02:00,111
Röhrmoos,2021-10-28T21:14:39+02:00,462
Schwabhausen,2021-10-28T21:14:39+02:00,379
Sulzemoos,2021-10-28T21:14:39+02:00,150
Vierkirchen,2021-10-28T21:14:39+02:00,282
Weichs,2021-10-28T21:14:39+02:00,214
