Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-05T17:15:00+01:00,118,107
Bergkirchen,2020-11-05T17:15:00+01:00,102,82
Dachau,2020-11-05T17:15:00+01:00,636,513
Erdweg,2020-11-05T17:15:00+01:00,55,44
Haimhausen,2020-11-05T17:15:00+01:00,55,45
Hebertshausen,2020-11-05T17:15:00+01:00,50,43
Hilgertshausen-Tandern,2020-11-05T17:15:00+01:00,19,17
Karlsfeld,2020-11-05T17:15:00+01:00,376,278
Markt Indersdorf,2020-11-05T17:15:00+01:00,105,84
Odelzhausen,2020-11-05T17:15:00+01:00,58,45
Petershausen,2020-11-05T17:15:00+01:00,47,41
Pfaffenhofen a.d. Glonn,2020-11-05T17:15:00+01:00,18,15
Röhrmoos,2020-11-05T17:15:00+01:00,155,138
Schwabhausen,2020-11-05T17:15:00+01:00,87,64
Sulzemoos,2020-11-05T17:15:00+01:00,31,21
Vierkirchen,2020-11-05T17:15:00+01:00,50,44
Weichs,2020-11-05T17:15:00+01:00,43,33
