Kommune,Timestamp,Recovered
Altomünster,2021-08-30T21:13:47+02:00,417
Bergkirchen,2021-08-30T21:13:47+02:00,384
Dachau,2021-08-30T21:13:47+02:00,2618
Erdweg,2021-08-30T21:13:47+02:00,333
Haimhausen,2021-08-30T21:13:47+02:00,234
Hebertshausen,2021-08-30T21:13:47+02:00,226
Hilgertshausen-Tandern,2021-08-30T21:13:47+02:00,153
Karlsfeld,2021-08-30T21:13:47+02:00,1442
Markt Indersdorf,2021-08-30T21:13:47+02:00,584
Odelzhausen,2021-08-30T21:13:47+02:00,250
Petershausen,2021-08-30T21:13:47+02:00,273
Pfaffenhofen a.d. Glonn,2021-08-30T21:13:47+02:00,96
Röhrmoos,2021-08-30T21:13:47+02:00,413
Schwabhausen,2021-08-30T21:13:47+02:00,341
Sulzemoos,2021-08-30T21:13:47+02:00,135
Vierkirchen,2021-08-30T21:13:47+02:00,248
Weichs,2021-08-30T21:13:47+02:00,185
