Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-12-09T17:15:27+01:00,189,157
Bergkirchen,2020-12-09T17:15:27+01:00,166,150
Dachau,2020-12-09T17:15:27+01:00,1233,1075
Erdweg,2020-12-09T17:15:27+01:00,118,95
Haimhausen,2020-12-09T17:15:27+01:00,111,97
Hebertshausen,2020-12-09T17:15:27+01:00,89,77
Hilgertshausen-Tandern,2020-12-09T17:15:27+01:00,51,37
Karlsfeld,2020-12-09T17:15:27+01:00,807,654
Markt Indersdorf,2020-12-09T17:15:27+01:00,234,177
Odelzhausen,2020-12-09T17:15:27+01:00,112,98
Petershausen,2020-12-09T17:15:27+01:00,81,67
Pfaffenhofen a.d. Glonn,2020-12-09T17:15:27+01:00,39,34
Röhrmoos,2020-12-09T17:15:27+01:00,191,168
Schwabhausen,2020-12-09T17:15:27+01:00,148,129
Sulzemoos,2020-12-09T17:15:27+01:00,66,56
Vierkirchen,2020-12-09T17:15:27+01:00,66,59
Weichs,2020-12-09T17:15:27+01:00,54,45
