Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-07T17:14:32+01:00,256,240
Bergkirchen,2021-01-07T17:14:32+01:00,207,194
Dachau,2021-01-07T17:14:32+01:00,1636,1524
Erdweg,2021-01-07T17:14:32+01:00,175,161
Haimhausen,2021-01-07T17:14:32+01:00,154,138
Hebertshausen,2021-01-07T17:14:32+01:00,108,100
Hilgertshausen-Tandern,2021-01-07T17:14:32+01:00,71,65
Karlsfeld,2021-01-07T17:14:32+01:00,1006,920
Markt Indersdorf,2021-01-07T17:14:32+01:00,300,268
Odelzhausen,2021-01-07T17:14:32+01:00,137,128
Petershausen,2021-01-07T17:14:32+01:00,95,90
Pfaffenhofen a.d. Glonn,2021-01-07T17:14:32+01:00,61,57
Röhrmoos,2021-01-07T17:14:32+01:00,212,200
Schwabhausen,2021-01-07T17:14:32+01:00,189,177
Sulzemoos,2021-01-07T17:14:32+01:00,84,78
Vierkirchen,2021-01-07T17:14:32+01:00,116,94
Weichs,2021-01-07T17:14:32+01:00,86,64
