Kommune,Timestamp,Recovered
Altomünster,2022-06-13T21:15:04+02:00,3239
Bergkirchen,2022-06-13T21:15:04+02:00,3066
Dachau,2022-06-13T21:15:04+02:00,18932
Erdweg,2022-06-13T21:15:04+02:00,2515
Haimhausen,2022-06-13T21:15:04+02:00,2230
Hebertshausen,2022-06-13T21:15:04+02:00,2134
Hilgertshausen-Tandern,2022-06-13T21:15:04+02:00,1248
Karlsfeld,2022-06-13T21:15:04+02:00,8871
Markt Indersdorf,2022-06-13T21:15:04+02:00,4186
Odelzhausen,2022-06-13T21:15:04+02:00,2096
Petershausen,2022-06-13T21:15:04+02:00,2459
Pfaffenhofen a.d. Glonn,2022-06-13T21:15:04+02:00,889
Röhrmoos,2022-06-13T21:15:04+02:00,2841
Schwabhausen,2022-06-13T21:15:04+02:00,2597
Sulzemoos,2022-06-13T21:15:04+02:00,1216
Vierkirchen,2022-06-13T21:15:04+02:00,1766
Weichs,2022-06-13T21:15:04+02:00,1386
