Kommune,Timestamp,Recovered
Altomünster,2021-10-25T21:15:10+02:00,474
Bergkirchen,2021-10-25T21:15:10+02:00,429
Dachau,2021-10-25T21:15:10+02:00,3087
Erdweg,2021-10-25T21:15:10+02:00,396
Haimhausen,2021-10-25T21:15:10+02:00,278
Hebertshausen,2021-10-25T21:15:10+02:00,246
Hilgertshausen-Tandern,2021-10-25T21:15:10+02:00,179
Karlsfeld,2021-10-25T21:15:10+02:00,1684
Markt Indersdorf,2021-10-25T21:15:10+02:00,650
Odelzhausen,2021-10-25T21:15:10+02:00,332
Petershausen,2021-10-25T21:15:10+02:00,380
Pfaffenhofen a.d. Glonn,2021-10-25T21:15:10+02:00,111
Röhrmoos,2021-10-25T21:15:10+02:00,457
Schwabhausen,2021-10-25T21:15:10+02:00,377
Sulzemoos,2021-10-25T21:15:10+02:00,147
Vierkirchen,2021-10-25T21:15:10+02:00,280
Weichs,2021-10-25T21:15:10+02:00,211
