Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-12-02T17:14:44+01:00,165,141
Bergkirchen,2020-12-02T17:14:44+01:00,158,135
Dachau,2020-12-02T17:14:44+01:00,1117,937
Erdweg,2020-12-02T17:14:44+01:00,100,84
Haimhausen,2020-12-02T17:14:44+01:00,100,73
Hebertshausen,2020-12-02T17:14:44+01:00,80,66
Hilgertshausen-Tandern,2020-12-02T17:14:44+01:00,40,35
Karlsfeld,2020-12-02T17:14:44+01:00,730,577
Markt Indersdorf,2020-12-02T17:14:44+01:00,188,153
Odelzhausen,2020-12-02T17:14:44+01:00,106,95
Petershausen,2020-12-02T17:14:44+01:00,73,59
Pfaffenhofen a.d. Glonn,2020-12-02T17:14:44+01:00,35,31
Röhrmoos,2020-12-02T17:14:44+01:00,180,163
Schwabhausen,2020-12-02T17:14:44+01:00,135,120
Sulzemoos,2020-12-02T17:14:44+01:00,63,46
Vierkirchen,2020-12-02T17:14:44+01:00,61,55
Weichs,2020-12-02T17:14:44+01:00,45,45
