Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-02-21T17:12:43+01:00,282,273
Bergkirchen,2021-02-21T17:12:43+01:00,249,238
Dachau,2021-02-21T17:12:43+01:00,1824,1790
Erdweg,2021-02-21T17:12:43+01:00,204,187
Haimhausen,2021-02-21T17:12:43+01:00,171,170
Hebertshausen,2021-02-21T17:12:43+01:00,125,123
Hilgertshausen-Tandern,2021-02-21T17:12:43+01:00,93,87
Karlsfeld,2021-02-21T17:12:43+01:00,1096,1042
Markt Indersdorf,2021-02-21T17:12:43+01:00,362,339
Odelzhausen,2021-02-21T17:12:43+01:00,166,143
Petershausen,2021-02-21T17:12:43+01:00,138,131
Pfaffenhofen a.d. Glonn,2021-02-21T17:12:43+01:00,73,67
Röhrmoos,2021-02-21T17:12:43+01:00,327,309
Schwabhausen,2021-02-21T17:12:43+01:00,211,208
Sulzemoos,2021-02-21T17:12:43+01:00,95,94
Vierkirchen,2021-02-21T17:12:43+01:00,143,141
Weichs,2021-02-21T17:12:43+01:00,160,132
