Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-02T18:14:31+01:00,115,103
Bergkirchen,2020-11-02T18:14:31+01:00,96,78
Dachau,2020-11-02T18:14:31+01:00,581,469
Erdweg,2020-11-02T18:14:31+01:00,48,40
Haimhausen,2020-11-02T18:14:31+01:00,50,40
Hebertshausen,2020-11-02T18:14:31+01:00,48,40
Hilgertshausen-Tandern,2020-11-02T18:14:31+01:00,18,17
Karlsfeld,2020-11-02T18:14:31+01:00,313,267
Markt Indersdorf,2020-11-02T18:14:31+01:00,92,78
Odelzhausen,2020-11-02T18:14:31+01:00,54,39
Petershausen,2020-11-02T18:14:31+01:00,44,38
Pfaffenhofen a.d. Glonn,2020-11-02T18:14:31+01:00,18,14
Röhrmoos,2020-11-02T18:14:31+01:00,153,136
Schwabhausen,2020-11-02T18:14:31+01:00,74,57
Sulzemoos,2020-11-02T18:14:31+01:00,24,21
Vierkirchen,2020-11-02T18:14:31+01:00,48,44
Weichs,2020-11-02T18:14:31+01:00,38,32
