Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-02-25T17:14:51+01:00,282,273
Bergkirchen,2021-02-25T17:14:51+01:00,250,240
Dachau,2021-02-25T17:14:51+01:00,1835,1796
Erdweg,2021-02-25T17:14:51+01:00,211,196
Haimhausen,2021-02-25T17:14:51+01:00,172,170
Hebertshausen,2021-02-25T17:14:51+01:00,126,124
Hilgertshausen-Tandern,2021-02-25T17:14:51+01:00,93,89
Karlsfeld,2021-02-25T17:14:51+01:00,1099,1046
Markt Indersdorf,2021-02-25T17:14:51+01:00,364,342
Odelzhausen,2021-02-25T17:14:51+01:00,166,157
Petershausen,2021-02-25T17:14:51+01:00,140,132
Pfaffenhofen a.d. Glonn,2021-02-25T17:14:51+01:00,73,72
Röhrmoos,2021-02-25T17:14:51+01:00,333,311
Schwabhausen,2021-02-25T17:14:51+01:00,213,208
Sulzemoos,2021-02-25T17:14:51+01:00,95,94
Vierkirchen,2021-02-25T17:14:51+01:00,143,140
Weichs,2021-02-25T17:14:51+01:00,160,136
