Kommune,Timestamp,Recovered
Altomünster,2022-09-27T16:12:49+02:00,3676
Bergkirchen,2022-09-27T16:12:49+02:00,3788
Dachau,2022-09-27T16:12:49+02:00,23518
Erdweg,2022-09-27T16:12:49+02:00,3133
Haimhausen,2022-09-27T16:12:49+02:00,2769
Hebertshausen,2022-09-27T16:12:49+02:00,2734
Hilgertshausen-Tandern,2022-09-27T16:12:49+02:00,1533
Karlsfeld,2022-09-27T16:12:49+02:00,10604
Markt Indersdorf,2022-09-27T16:12:49+02:00,4998
Odelzhausen,2022-09-27T16:12:49+02:00,2510
Petershausen,2022-09-27T16:12:49+02:00,3089
Pfaffenhofen a.d. Glonn,2022-09-27T16:12:49+02:00,1046
Röhrmoos,2022-09-27T16:12:49+02:00,3458
Schwabhausen,2022-09-27T16:12:49+02:00,3179
Sulzemoos,2022-09-27T16:12:49+02:00,1463
Vierkirchen,2022-09-27T16:12:49+02:00,2168
Weichs,2022-09-27T16:12:49+02:00,1692
