Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-04-27T21:30:00+02:00,84,72
Bergkirchen,2020-04-27T21:30:00+02:00,63,49
Dachau,2020-04-27T21:30:00+02:00,196,163
Erdweg,2020-04-27T21:30:00+02:00,25,21
Haimhausen,2020-04-27T21:30:00+02:00,26,22
Hebertshausen,2020-04-27T21:30:00+02:00,27,16
Hilgertshausen-Tandern,2020-04-27T21:30:00+02:00,13,11
Karlsfeld,2020-04-27T21:30:00+02:00,128,94
Markt Indersdorf,2020-04-27T21:30:00+02:00,50,43
Odelzhausen,2020-04-27T21:30:00+02:00,19,14
Petershausen,2020-04-27T21:30:00+02:00,31,25
Pfaffenhofen a.d. Glonn,2020-04-27T21:30:00+02:00,7,6
Röhrmoos,2020-04-27T21:30:00+02:00,113,70
Schwabhausen,2020-04-27T21:30:00+02:00,29,22
Sulzemoos,2020-04-27T21:30:00+02:00,13,11
Vierkirchen,2020-04-27T21:30:00+02:00,16,12
Weichs,2020-04-27T21:30:00+02:00,14,11
