Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-25T17:14:22+01:00,154,134
Bergkirchen,2020-11-25T17:14:22+01:00,145,121
Dachau,2020-11-25T17:14:22+01:00,1000,806
Erdweg,2020-11-25T17:14:22+01:00,89,75
Haimhausen,2020-11-25T17:14:22+01:00,88,57
Hebertshausen,2020-11-25T17:14:22+01:00,69,62
Hilgertshausen-Tandern,2020-11-25T17:14:22+01:00,35,32
Karlsfeld,2020-11-25T17:14:22+01:00,646,474
Markt Indersdorf,2020-11-25T17:14:22+01:00,163,141
Odelzhausen,2020-11-25T17:14:22+01:00,100,66
Petershausen,2020-11-25T17:14:22+01:00,64,53
Pfaffenhofen a.d. Glonn,2020-11-25T17:14:22+01:00,32,29
Röhrmoos,2020-11-25T17:14:22+01:00,171,158
Schwabhausen,2020-11-25T17:14:22+01:00,126,108
Sulzemoos,2020-11-25T17:14:22+01:00,49,43
Vierkirchen,2020-11-25T17:14:22+01:00,56,51
Weichs,2020-11-25T17:14:22+01:00,45,44
