Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-10-28T18:11:41+01:00,112,99
Bergkirchen,2020-10-28T18:11:41+01:00,83,78
Dachau,2020-10-28T18:11:41+01:00,498,420
Erdweg,2020-10-28T18:11:41+01:00,43,37
Haimhausen,2020-10-28T18:11:41+01:00,43,38
Hebertshausen,2020-10-28T18:11:41+01:00,44,36
Hilgertshausen-Tandern,2020-10-28T18:11:41+01:00,17,17
Karlsfeld,2020-10-28T18:11:41+01:00,289,250
Markt Indersdorf,2020-10-28T18:11:41+01:00,80,76
Odelzhausen,2020-10-28T18:11:41+01:00,44,25
Petershausen,2020-10-28T18:11:41+01:00,42,37
Pfaffenhofen a.d. Glonn,2020-10-28T18:11:41+01:00,15,12
Röhrmoos,2020-10-28T18:11:41+01:00,148,135
Schwabhausen,2020-10-28T18:11:41+01:00,60,54
Sulzemoos,2020-10-28T18:11:41+01:00,22,20
Vierkirchen,2020-10-28T18:11:41+01:00,45,40
Weichs,2020-10-28T18:11:41+01:00,35,30
