Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-12-06T17:15:21+01:00,179,146
Bergkirchen,2020-12-06T17:15:21+01:00,163,138
Dachau,2020-12-06T17:15:21+01:00,1187,987
Erdweg,2020-12-06T17:15:21+01:00,111,86
Haimhausen,2020-12-06T17:15:21+01:00,108,76
Hebertshausen,2020-12-06T17:15:21+01:00,84,66
Hilgertshausen-Tandern,2020-12-06T17:15:21+01:00,42,35
Karlsfeld,2020-12-06T17:15:21+01:00,762,608
Markt Indersdorf,2020-12-06T17:15:21+01:00,215,165
Odelzhausen,2020-12-06T17:15:21+01:00,111,97
Petershausen,2020-12-06T17:15:21+01:00,78,61
Pfaffenhofen a.d. Glonn,2020-12-06T17:15:21+01:00,36,32
Röhrmoos,2020-12-06T17:15:21+01:00,188,163
Schwabhausen,2020-12-06T17:15:21+01:00,140,125
Sulzemoos,2020-12-06T17:15:21+01:00,64,48
Vierkirchen,2020-12-06T17:15:21+01:00,63,55
Weichs,2020-12-06T17:15:21+01:00,47,45
