Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-21T17:10:45+01:00,312,287
Bergkirchen,2021-03-21T17:10:45+01:00,263,246
Dachau,2021-03-21T17:10:45+01:00,1958,1850
Erdweg,2021-03-21T17:10:45+01:00,226,218
Haimhausen,2021-03-21T17:10:45+01:00,179,172
Hebertshausen,2021-03-21T17:10:45+01:00,138,127
Hilgertshausen-Tandern,2021-03-21T17:10:45+01:00,105,95
Karlsfeld,2021-03-21T17:10:45+01:00,1156,1078
Markt Indersdorf,2021-03-21T17:10:45+01:00,437,355
Odelzhausen,2021-03-21T17:10:45+01:00,187,165
Petershausen,2021-03-21T17:10:45+01:00,156,141
Pfaffenhofen a.d. Glonn,2021-03-21T17:10:45+01:00,76,73
Röhrmoos,2021-03-21T17:10:45+01:00,343,317
Schwabhausen,2021-03-21T17:10:45+01:00,225,214
Sulzemoos,2021-03-21T17:10:45+01:00,100,95
Vierkirchen,2021-03-21T17:10:45+01:00,156,145
Weichs,2021-03-21T17:10:45+01:00,161,138
