Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-05-05T21:30:00+02:00,85,82
Bergkirchen,2020-05-05T21:30:00+02:00,64,57
Dachau,2020-05-05T21:30:00+02:00,202,183
Erdweg,2020-05-05T21:30:00+02:00,28,23
Haimhausen,2020-05-05T21:30:00+02:00,27,24
Hebertshausen,2020-05-05T21:30:00+02:00,27,26
Hilgertshausen-Tandern,2020-05-05T21:30:00+02:00,13,12
Karlsfeld,2020-05-05T21:30:00+02:00,133,114
Markt Indersdorf,2020-05-05T21:30:00+02:00,50,46
Odelzhausen,2020-05-05T21:30:00+02:00,19,17
Petershausen,2020-05-05T21:30:00+02:00,32,30
Pfaffenhofen a.d. Glonn,2020-05-05T21:30:00+02:00,8,6
Röhrmoos,2020-05-05T21:30:00+02:00,113,97
Schwabhausen,2020-05-05T21:30:00+02:00,29,22
Sulzemoos,2020-05-05T21:30:00+02:00,13,12
Vierkirchen,2020-05-05T21:30:00+02:00,26,15
Weichs,2020-05-05T21:30:00+02:00,17,11
