Kommune,Timestamp,Confirmed
Altomünster,2022-02-03T21:15:11+01:00,1110
Bergkirchen,2022-02-03T21:15:11+01:00,1307
Dachau,2022-02-03T21:15:11+01:00,8824
Erdweg,2022-02-03T21:15:11+01:00,987
Haimhausen,2022-02-03T21:15:11+01:00,902
Hebertshausen,2022-02-03T21:15:11+01:00,806
Hilgertshausen-Tandern,2022-02-03T21:15:11+01:00,403
Karlsfeld,2022-02-03T21:15:11+01:00,4558
Markt Indersdorf,2022-02-03T21:15:11+01:00,1771
Odelzhausen,2022-02-03T21:15:11+01:00,843
Petershausen,2022-02-03T21:15:11+01:00,963
Pfaffenhofen a.d. Glonn,2022-02-03T21:15:11+01:00,370
Röhrmoos,2022-02-03T21:15:11+01:00,1131
Schwabhausen,2022-02-03T21:15:11+01:00,1058
Sulzemoos,2022-02-03T21:15:11+01:00,437
Vierkirchen,2022-02-03T21:15:11+01:00,648
Weichs,2022-02-03T21:15:11+01:00,704
