Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-09-27T23:55:00+02:00,92,90
Bergkirchen,2020-09-27T23:55:00+02:00,72,67
Dachau,2020-09-27T23:55:00+02:00,351,329
Erdweg,2020-09-27T23:55:00+02:00,33,33
Haimhausen,2020-09-27T23:55:00+02:00,33,33
Hebertshausen,2020-09-27T23:55:00+02:00,31,30
Hilgertshausen-Tandern,2020-09-27T23:55:00+02:00,16,15
Karlsfeld,2020-09-27T23:55:00+02:00,224,207
Markt Indersdorf,2020-09-27T23:55:00+02:00,73,71
Odelzhausen,2020-09-27T23:55:00+02:00,25,22
Petershausen,2020-09-27T23:55:00+02:00,34,32
Pfaffenhofen a.d. Glonn,2020-09-27T23:55:00+02:00,9,9
Röhrmoos,2020-09-27T23:55:00+02:00,125,113
Schwabhausen,2020-09-27T23:55:00+02:00,47,41
Sulzemoos,2020-09-27T23:55:00+02:00,14,12
Vierkirchen,2020-09-27T23:55:00+02:00,36,35
Weichs,2020-09-27T23:55:00+02:00,25,25
