Kommune,Timestamp,Recovered
Altomünster,2022-03-10T21:12:21+01:00,1072
Bergkirchen,2022-03-10T21:12:21+01:00,1205
Dachau,2022-03-10T21:12:21+01:00,8100
Erdweg,2022-03-10T21:12:21+01:00,912
Haimhausen,2022-03-10T21:12:21+01:00,822
Hebertshausen,2022-03-10T21:12:21+01:00,745
Hilgertshausen-Tandern,2022-03-10T21:12:21+01:00,387
Karlsfeld,2022-03-10T21:12:21+01:00,4073
Markt Indersdorf,2022-03-10T21:12:21+01:00,1703
Odelzhausen,2022-03-10T21:12:21+01:00,830
Petershausen,2022-03-10T21:12:21+01:00,866
Pfaffenhofen a.d. Glonn,2022-03-10T21:12:21+01:00,338
Röhrmoos,2022-03-10T21:12:21+01:00,1135
Schwabhausen,2022-03-10T21:12:21+01:00,980
Sulzemoos,2022-03-10T21:12:21+01:00,411
Vierkirchen,2022-03-10T21:12:21+01:00,613
Weichs,2022-03-10T21:12:21+01:00,621
