Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-10-19T17:15:10+02:00,94,91
Bergkirchen,2020-10-19T17:15:10+02:00,82,69
Dachau,2020-10-19T17:15:10+02:00,422,370
Erdweg,2020-10-19T17:15:10+02:00,35,34
Haimhausen,2020-10-19T17:15:10+02:00,39,35
Hebertshausen,2020-10-19T17:15:10+02:00,36,33
Hilgertshausen-Tandern,2020-10-19T17:15:10+02:00,17,16
Karlsfeld,2020-10-19T17:15:10+02:00,258,223
Markt Indersdorf,2020-10-19T17:15:10+02:00,76,72
Odelzhausen,2020-10-19T17:15:10+02:00,26,22
Petershausen,2020-10-19T17:15:10+02:00,39,33
Pfaffenhofen a.d. Glonn,2020-10-19T17:15:10+02:00,12,9
Röhrmoos,2020-10-19T17:15:10+02:00,147,125
Schwabhausen,2020-10-19T17:15:10+02:00,54,47
Sulzemoos,2020-10-19T17:15:10+02:00,22,19
Vierkirchen,2020-10-19T17:15:10+02:00,42,35
Weichs,2020-10-19T17:15:10+02:00,30,28
