Kommune,Timestamp,Recovered
Altomünster,2021-06-07T21:15:03+02:00,405
Bergkirchen,2021-06-07T21:15:03+02:00,367
Dachau,2021-06-07T21:15:03+02:00,2505
Erdweg,2021-06-07T21:15:03+02:00,315
Haimhausen,2021-06-07T21:15:03+02:00,225
Hebertshausen,2021-06-07T21:15:03+02:00,221
Hilgertshausen-Tandern,2021-06-07T21:15:03+02:00,149
Karlsfeld,2021-06-07T21:15:03+02:00,1398
Markt Indersdorf,2021-06-07T21:15:03+02:00,569
Odelzhausen,2021-06-07T21:15:03+02:00,245
Petershausen,2021-06-07T21:15:03+02:00,258
Pfaffenhofen a.d. Glonn,2021-06-07T21:15:03+02:00,94
Röhrmoos,2021-06-07T21:15:03+02:00,401
Schwabhausen,2021-06-07T21:15:03+02:00,300
Sulzemoos,2021-06-07T21:15:03+02:00,128
Vierkirchen,2021-06-07T21:15:03+02:00,234
Weichs,2021-06-07T21:15:03+02:00,178
