Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-16T17:13:01+01:00,299,283
Bergkirchen,2021-03-16T17:13:01+01:00,259,245
Dachau,2021-03-16T17:13:01+01:00,1904,1844
Erdweg,2021-03-16T17:13:01+01:00,220,216
Haimhausen,2021-03-16T17:13:01+01:00,176,172
Hebertshausen,2021-03-16T17:13:01+01:00,132,127
Hilgertshausen-Tandern,2021-03-16T17:13:01+01:00,104,95
Karlsfeld,2021-03-16T17:13:01+01:00,1135,1063
Markt Indersdorf,2021-03-16T17:13:01+01:00,419,354
Odelzhausen,2021-03-16T17:13:01+01:00,178,164
Petershausen,2021-03-16T17:13:01+01:00,148,139
Pfaffenhofen a.d. Glonn,2021-03-16T17:13:01+01:00,76,73
Röhrmoos,2021-03-16T17:13:01+01:00,337,318
Schwabhausen,2021-03-16T17:13:01+01:00,222,213
Sulzemoos,2021-03-16T17:13:01+01:00,97,95
Vierkirchen,2021-03-16T17:13:01+01:00,153,144
Weichs,2021-03-16T17:13:01+01:00,160,138
