Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-20T17:15:31+01:00,147,125
Bergkirchen,2020-11-20T17:15:31+01:00,136,106
Dachau,2020-11-20T17:15:31+01:00,898,735
Erdweg,2020-11-20T17:15:31+01:00,82,64
Haimhausen,2020-11-20T17:15:31+01:00,68,57
Hebertshausen,2020-11-20T17:15:31+01:00,63,59
Hilgertshausen-Tandern,2020-11-20T17:15:31+01:00,34,23
Karlsfeld,2020-11-20T17:15:31+01:00,613,422
Markt Indersdorf,2020-11-20T17:15:31+01:00,151,127
Odelzhausen,2020-11-20T17:15:31+01:00,88,61
Petershausen,2020-11-20T17:15:31+01:00,60,52
Pfaffenhofen a.d. Glonn,2020-11-20T17:15:31+01:00,29,26
Röhrmoos,2020-11-20T17:15:31+01:00,169,148
Schwabhausen,2020-11-20T17:15:31+01:00,117,99
Sulzemoos,2020-11-20T17:15:31+01:00,48,38
Vierkirchen,2020-11-20T17:15:31+01:00,54,51
Weichs,2020-11-20T17:15:31+01:00,44,42
