Kommune,Timestamp,Recovered
Altomünster,2022-08-29T21:13:40+02:00,3601
Bergkirchen,2022-08-29T21:13:40+02:00,3639
Dachau,2022-08-29T21:13:40+02:00,22625
Erdweg,2022-08-29T21:13:40+02:00,3005
Haimhausen,2022-08-29T21:13:40+02:00,2664
Hebertshausen,2022-08-29T21:13:40+02:00,2620
Hilgertshausen-Tandern,2022-08-29T21:13:40+02:00,1485
Karlsfeld,2022-08-29T21:13:40+02:00,10345
Markt Indersdorf,2022-08-29T21:13:40+02:00,4833
Odelzhausen,2022-08-29T21:13:40+02:00,2388
Petershausen,2022-08-29T21:13:40+02:00,2980
Pfaffenhofen a.d. Glonn,2022-08-29T21:13:40+02:00,1014
Röhrmoos,2022-08-29T21:13:40+02:00,3284
Schwabhausen,2022-08-29T21:13:40+02:00,3049
Sulzemoos,2022-08-29T21:13:40+02:00,1423
Vierkirchen,2022-08-29T21:13:40+02:00,2081
Weichs,2022-08-29T21:13:40+02:00,1618
